score,time
1696.74,87863
1696.74,1594113
1660.6,3096514
1598.04,4645307
1572.33,6258781
1572.33,7758219
1547.16,9320301
1523.5,10854078
1486.01,12395860
1486.01,13862745
1486.01,15312497
1486.01,16722414
1486.01,18145707
1486.01,19541436
1479.4,20923881
1433.61,22306195
1433.61,23622834
1433.61,24962922
1433.61,26227909
1433.61,27397763
1433.61,28466062
1416.33,29461824
1416.33,30358152
1416.33,31053364
1416.33,31488473
1416.33,31681930
1416.33,31744687
1416.33,31781162
1409.23,31820863
1391.72,31862211
1391.72,31901055
1372.66,31947094
1372.66,31983005
1362,32020402
1362,32058681
1357.66,32096718
1357.58,32128710
1355.07,32172750
1345.94,32207090
1344.09,32252813
1344.09,32287165
1344.09,32337987
1327.92,32370693
1315.54,32413215
1315.54,32447821
1314.17,32482068
1311.61,32517598
1308.43,32566671
1308.43,32600460
1308.43,32634868
1308.43,32673147
1308.43,32704022
1307.48,32740048
1297.79,32770587
1297.76,32801359
1297.76,32832686
1295.52,32865395
1294.53,32894452
1292.77,32925097
1290.63,32959866
1289.25,32993330
1282.37,33034789
1281.45,33067380
1281.45,33100650
1279.7,33133037
1279.38,33176170
1278.99,33208741
1277.67,33241743
1271.64,33276479
1270.33,33308017
1269.94,33347255
1266.73,33385280
1266.65,33420607
1266.12,33452780
1263.41,33484828
1263.41,33515323
1261.85,33549030
1259.82,33589147
1253,33632286
1250.48,33665121
1250.48,33703277
1250.48,33734157
1246.54,33765503
1245.83,33795801
1245.83,33835504
1245.83,33865622
1242.73,33895999
1242.73,33935850
1240.07,33969212
1239.01,34003806
1235.92,34037987
1235.79,34072302
1235.79,34107077
1235.79,34146249
1234.77,34182718
1234.77,34230361
1232.03,34263814
1226.59,34294576
1226.02,34323702
1225.37,34364989
1218.6,34397515
1218.6,34436521
1217.13,34469831
1217.13,34502942
1216.98,34536975
1216.98,34579788
1216.98,34613668
1215.47,34645514
1215.19,34678632
1212.05,34710909
1212.05,34758835
1207.64,34792438
1204.32,34825982
1200.82,34866964
1199.16,34901184
1199.16,34946985
1190.44,34985118
1190.44,35029391
1189.55,35064024
1189.55,35099075
1189.55,35132969
1189.55,35165669
1183.37,35197913
1180.07,35236145
1180.07,35269350
1175.88,35305415
1175.72,35342692
1175.72,35378242
1175.72,35418020
1175.33,35452881
1165.27,35485622
1165.27,35525600
1164.03,35560941
1156.67,35604811
1152.88,35636708
1152.88,35683025
1152.88,35714689
1147.75,35745402
1146.42,35774275
1146.42,35815801
1145.53,35847687
1140.17,35894277
1139.61,35926976
1139.38,35958586
1139.38,35994164
1139.07,36024599
1137.7,36054738
1134.7,36086947
1132.07,36117712
1130.78,36148289
1130.78,36186738
1130.23,36218013
1130.23,36250862
1130.23,36282776
1126.76,36314161
1126.76,36354303
1123.33,36386622
1120.84,36417888
1120.84,36451492
1117.29,36484659
1117.19,36517788
1117.19,36552983
1113.91,36586536
1111.95,36620371
1110.82,36653468
1110.79,36690487
1110.79,36722598
1108.72,36757799
1108.72,36811375
1099.31,36845385
1099.31,36888133
1099.31,36922946
1095.22,36957885
1094.5,36990814
1094.45,37025088
1094.45,37058545
1093.45,37093308
1093.45,37126056
1093.45,37160483
1093.45,37193540
1092.08,37225004
1090.33,37254227
1087.43,37285674
1087.43,37315120
1086.84,37346903
1086.75,37376585
1085.15,37405432
1085.15,37441644
1083.37,37473385
1081.81,37504805
1080.8,37535679
1080.8,37566410
1077.44,37600793
1077.44,37635980
1073.85,37668193
1073.17,37701471
1067.92,37741524
1067.92,37786188
1066.65,37819076
1066.65,37853007
1066.37,37886982
1065.15,37919164
1065.15,37952312
1065.15,37987085
1060.38,38021774
1051.71,38066987
1051.71,38100031
1050.32,38132530
1050.09,38165785
1050.09,38197618
1048.57,38233525
1046.8,38268315
1046.69,38303552
1044.67,38340540
1043.94,38378874
1043.74,38416836
1043.74,38457688
1042.17,38499660
1042.17,38541042
1040.82,38596870
1040.7,38635621
1038.19,38668266
1032.69,38700429
1032.69,38735450
1031.2,38770386
1031.2,38808109
1030.33,38844864
1029.87,38879205
1029.7,38914367
1029.7,38957755
1029.7,38994310
1029.61,39030755
1029.61,39065322
1025.15,39101209
1023.91,39151928
1023.88,39184958
1022.33,39218216
1022.33,39251396
1021.99,39294033
1017.68,39341216
1017.68,39376753
1016.65,39411070
1014.69,39443658
1014.69,39479196
1014.26,39513031
1013.17,39546533
1013.04,39579941
1011.72,39613536
1011.72,39647912
1008.96,39683163
1008.96,39715009
1008.96,39751136
1008.09,39785645
1008.09,39817277
1006.63,39849581
1001.47,39879909
1001.47,39919588
1001.47,39961860
999.645,39994451
999.645,40038509
999.46,40068264
999.46,40112587
999.246,40142568
999.246,40184306
998.821,40227081
997.654,40268183
997.654,40310574
997.654,40345184
997.654,40381140
997.654,40414371
997.654,40445655
995.343,40479259
995.343,40524929
995.343,40559844
995.088,40594881
995.088,40628179
993.762,40663297
992.396,40702781
992.396,40736792
992.396,40772095
989.472,40805673
989.472,40842245
985.969,40875701
985.969,40908127
985.508,40940533
984.96,40983188
984.929,41019739
984.929,41050421
981.705,41088287
981.573,41119417
981.101,41149234
978.455,41180839
976.576,41213221
975.552,41248760
975.308,41290451
975.111,41322709
974.78,41355476
974.545,41388695
974.545,41421125
973.357,41453960
972.593,41485817
972.593,41531102
972.593,41564854
972.077,41598482
970.175,41630385
969.069,41674046
964.048,41716076
964.048,41755918
962.684,41796513
962.151,41840401
959.692,41879808
959.453,41917292
959.453,41951966
958.796,41987768
958.796,42032151
957.573,42068254
957.071,42107841
956.733,42143734
956.587,42176625
956.587,42211073
956.558,42250848
954.634,42292932
954.634,42325104
954.634,42360277
954.634,42395594
953.819,42430983
952.638,42467016
952.638,42515283
951.052,42552273
950.422,42587214
950.368,42628664
946.735,42665398
946.735,42699815
946.735,42732393
946.735,42766768
946.735,42801154
945.436,42834973
945.339,42871150
945.339,42906275
939.538,42941177
939.2,42975586
938.652,43010809
938.487,43043619
937.132,43074817
937.132,43106356
937.132,43139012
936.95,43173173
935.374,43206999
935.374,43242306
935.122,43278702
934.941,43328344
934.941,43375076
934.941,43410408
930.617,43445710
930.617,43485732
930.617,43520531
930.617,43556214
930.192,43591650
929.462,43624986
928.904,43670329
928.904,43708974
928.904,43740917
928.904,43772524
928.638,43803017
928.638,43844128
928.638,43878946
927.996,43911519
927.996,43951196
927.486,43983829
927.164,44026138
926.956,44057852
926.865,44087063
926.865,44116979
926.042,44148784
925.621,44179744
925.323,44209126
925.323,44244498
925.323,44275967
925.323,44307515
925.267,44338578
924.513,44381271
924.513,44425647
923.917,44456034
923.917,44485295
923.416,44518000
923.225,44547941
921.981,44579581
921.981,44616423
920.867,44657814
920.867,44697113
920.643,44736930
919.033,44768953
919.033,44804827
919.033,44836269
918.766,44869396
918.766,44903290
918.766,44934540
917.899,44964373
916.743,44997013
916.418,45027922
916.246,45058250
916.101,45087200
915.643,45118098
913.858,45148213
913.384,45177447
913.384,45209812
911.657,45241546
911.657,45279976
907.601,45311036
907.001,45342184
907.001,45376357
904.636,45410784
902.824,45439916
902.824,45469227
902.616,45500200
902.616,45547187
902.616,45577434
902.616,45609290
901.816,45639537
899.1,45670147
898.899,45699544
898.899,45729028
898.899,45759945
898.808,45791674
897.366,45821741
897.193,45859157
896.561,45890376
895.941,45922216
895.877,45953787
893.92,45997004
893.92,46044903
893.776,46075812
891.519,46111750
891.519,46152805
891.519,46193608
891.519,46224728
887.32,46257177
886.527,46290379
886.527,46322420
886.527,46354645
885.742,46387073
885.545,46417802
881.533,46446180
881.533,46486587
881.533,46517911
881.533,46548743
880.19,46579381
879.367,46610361
879.367,46644629
879.367,46675299
878.608,46707498
878.608,46737274
878.608,46767771
878.608,46798668
877.865,46828837
877.865,46860532
877.338,46893126
875.636,46922547
875.084,46968145
875.084,46998671
874.429,47030777
873.577,47060215
873.42,47090288
873.42,47126820
873.42,47158183
873.42,47190853
872.22,47223024
872.22,47256970
867.885,47289752
867.885,47323065
867.451,47355921
865.458,47388642
865.458,47419270
865.458,47450690
865.458,47482215
864.956,47517970
863.626,47559885
863.626,47592608
863.626,47624656
863.048,47655610
863.048,47684607
863.048,47715845
863.048,47746856
863.048,47777849
863.048,47809351
863.048,47839968
862.925,47874617
860.416,47905693
860.416,47940822
858.824,47974563
858.824,48011919
856.555,48043687
856.555,48074902
852.675,48105996
852.675,48143175
852.675,48173991
852.363,48206638
852.363,48241228
851.764,48275312
851.61,48306083
850.721,48340075
850.721,48372854
850.721,48405064
850.721,48436097
850.432,48469121
850.432,48499678
850.432,48529949
848.22,48559619
848.21,48593787
846.88,48625718
846.368,48657007
846.368,48687537
846.24,48718978
846.19,48757966
843.688,48788632
841.566,48819344
841.239,48848516
840.11,48886109
838.98,48917761
838.98,48947160
837.524,48979849
834.613,49010132
834.613,49040364
834.098,49071172
834.098,49106286
832.672,49136234
832.533,49165545
831.38,49196315
830.225,49226699
827.647,49258186
827.491,49289521
826.895,49322745
826.895,49360509
826.845,49397863
826.845,49432987
825.942,49471066
825.91,49505402
825.91,49548529
825.91,49581555
824.601,49615685
824.601,49651979
821.543,49685640
821.543,49721272
821.1,49755825
820.258,49790049
820.258,49823501
816.388,49860297
815.933,49899871
815.119,49933797
813.74,49967383
813.74,50009534
813.74,50043328
813.74,50078529
813.27,50111951
812.601,50146595
810.925,50179064
810.925,50213361
810.634,50249828
810.634,50283863
810.634,50319070
810.634,50354084
810.44,50389705
810.44,50422348
810.44,50456880
810.44,50492732
809.37,50527565
809.37,50563100
809.37,50599155
809.37,50634871
809.357,50669278
809.357,50704656
808.207,50740236
806.166,50774846
806.166,50819596
805.787,50865235
805.787,50900393
805.586,50938133
804.792,50982806
802.266,51017836
799.901,51050508
799.751,51088786
799.394,51120337
798.175,51152246
796.514,51185530
793.185,51218649
791.236,51254050
791.236,51288088
790.611,51326793
790.189,51366955
790.189,51409837
790.189,51442706
790.189,51478644
789.802,51513653
789.802,51547861
788.641,51583412
788.641,51627266
788.641,51662950
786.475,51698273
786.475,51734913
786.475,51770746
786.393,51806033
786.393,51844995
786.393,51880036
