score,time
8019,1247471
7805.81,2439712
7780.9,3635522
7495.38,4821016
7393.18,6002223
7393.18,7167812
7278.87,8339323
7278.87,9477648
7243.72,10600571
7243.72,11725805
7243.72,12845060
7155.17,13938352
7155.17,15031620
7155.17,16088057
7155.17,17171232
7155.17,18204870
7133.83,19191359
7038.24,20123369
7038.23,21046020
7038.23,21979649
6998.96,22790188
6998.96,23455146
6998.96,23878225
6998.96,24293840
6949.92,24925237
6881.54,25633532
6881.54,26265002
6881.54,26869093
6881.54,27373243
6881.54,27743529
6847.87,27993715
6847.87,28208634
6842.32,28360589
6842.32,28454130
6842.32,28554882
6842.32,28662704
6842.32,28779355
6829.04,28895433
6781.66,29016015
6773.1,29140084
6753.81,29277848
6753.81,29420231
6753.81,29548853
6753.81,29662119
6753.81,29786722
6753.81,29921544
6753.11,30076364
6735.79,30217978
6735.79,30318406
6711.64,30416104
6711.64,30498895
6711.64,30560836
6708.61,30622354
6699.91,30692082
6699.91,30763678
6699.91,30854017
6699.91,30950578
6699.91,31066144
6699.91,31171185
6699.19,31258484
6679.38,31344307
6679.38,31426956
6679.38,31512514
6679.38,31600970
6637.44,31659472
6626.95,31709909
6626.95,31747035
6626.95,31792534
6624.48,31838659
6624.48,31883031
6624.48,31928825
6624.48,31970404
6624.48,32011648
6621.96,32050476
6610.77,32092393
6610.77,32136971
6610.77,32191886
6586.48,32245226
6564.98,32315490
6562.22,32379320
6562.22,32453544
6562.22,32523923
6562.22,32590166
6562.22,32659061
6562.22,32729219
6562.22,32796607
6562.22,32865709
6562.22,32931696
6521.73,32995306
6521.73,33054958
6521.73,33115472
6498.3,33156143
6498.3,33189684
6498.3,33227804
6497.24,33292606
6486.82,33365825
6459.71,33424234
6459.71,33475175
6459.71,33527904
6459.71,33580904
6459.71,33635036
6444.85,33682911
6444.85,33716271
6444.85,33755107
6444.85,33817286
6444.85,33869163
6444.85,33916175
6385.35,33964581
6385.04,34010981
6353.32,34065164
6347.36,34097509
6347.36,34139900
6337.68,34181244
6337.68,34222971
6337.21,34263706
6337.21,34305267
6337.21,34347521
6337.21,34385785
6337.21,34423203
6308.9,34464843
6308.9,34508124
6304.86,34556095
6304.86,34588953
6304.86,34620216
6294.22,34658862
6294.22,34700047
6294.22,34740944
6293.38,34776807
6293.38,34811678
6291.44,34844191
6267.2,34883099
6259.75,34925799
6259.75,34965736
6259.75,34998680
6259.75,35048631
6247.68,35100776
6247.68,35152594
6247.68,35204261
6244.54,35258128
6244.54,35290715
6244.54,35321877
6244.54,35353759
6244.54,35386000
6191.68,35457416
6191.68,35504232
6191.68,35551565
6186.97,35597703
6186.97,35635614
6186.97,35667691
6186.97,35697670
6186.97,35728598
6182.19,35760438
6182.19,35793423
6182.19,35826703
6162.09,35857870
6162.09,35889927
6159.11,35918344
6158.89,35956149
6149.92,35995553
6096.62,36027414
6096.62,36060705
6095.35,36106362
6095.35,36151431
6088.36,36194829
6088.36,36238367
6088.36,36283302
6088.36,36334699
6058.15,36383567
6050.08,36424844
6050.08,36460156
6050.08,36495025
6047.05,36528139
6047.05,36560585
6045.77,36594720
6045.77,36633276
6045.77,36669785
6044.43,36710947
6044.43,36745448
6044.43,36781697
6038.38,36827346
6038.38,36870607
6029.15,36912383
6029.15,36955562
6020.39,36999445
6017.48,37037029
6017.48,37074343
6008.14,37112200
6008.14,37147621
6001.54,37184707
6001.54,37227206
6001.54,37277737
5989.87,37315506
5989.87,37351539
5989.87,37386355
5972.19,37419058
5972.19,37448672
5972.19,37483140
5961.59,37516424
5948.33,37549423
5948.33,37583146
5917.21,37620770
5917.21,37652380
5917.21,37683279
5892,37719725
5892,37757351
5892,37795919
5884.29,37827778
5884.29,37861756
5884.29,37893596
5882.35,37927928
5882.35,37957748
5879.32,37988139
5877.63,38014032
5865.26,38046512
5858.74,38077758
5858.74,38104712
5855.16,38132277
5855.01,38171102
5855.01,38209683
5855.01,38236758
5841.17,38269648
5836.28,38305457
