score,time
159.199,193
159.199,247
159.199,296
159.199,344
159.199,390
159.199,438
154.865,484
154.865,530
154.865,577
154.865,623
154.865,668
154.865,712
154.865,757
154.865,804
154.865,852
154.865,899
154.865,945
154.865,990
154.865,1036
154.865,1104
154.865,1183
154.865,1231
154.865,1290
154.865,1335
154.865,1379
154.865,1427
154.865,1493
154.865,1552
154.865,1598
154.865,1645
154.865,1692
154.865,1739
154.865,1786
154.865,1832
154.865,1916
154.865,1997
154.865,2079
154.865,2181
154.865,2232
154.865,2307
154.865,2355
154.865,2404
154.865,2453
154.865,2534
154.865,2583
154.865,2631
154.865,2681
154.865,2748
154.865,2828
154.865,2878
154.865,2941
154.865,3059
154.865,3144
154.865,3240
154.865,3360
154.865,3413
154.865,3487
154.865,3549
154.865,3616
154.865,3701
154.865,3777
154.865,3843
154.865,3905
154.865,3953
154.865,4019
154.865,4099
154.865,4193
154.865,4253
154.865,4298
154.865,4343
154.865,4387
154.865,4431
154.865,4474
154.865,4519
154.865,4564
154.865,4609
154.865,4653
154.865,4697
154.865,4743
154.865,4787
154.865,4835
154.865,4881
154.865,4926
154.865,4969
154.865,5016
154.865,5063
154.865,5109
154.865,5154
154.865,5199
154.865,5243
154.865,5287
154.865,5334
154.865,5380
154.865,5425
154.865,5469
154.865,5514
154.865,5562
154.865,5607
154.865,5652
154.865,5697
154.865,5744
154.865,5790
154.865,5838
154.865,5884
154.865,5930
154.865,5974
154.865,6018
154.865,6062
154.865,6107
154.865,6151
154.865,6195
154.865,6238
154.865,6283
154.865,6326
154.865,6370
154.865,6415
154.865,6459
154.865,6503
154.865,6547
154.865,6591
154.865,6634
154.865,6678
154.865,6721
154.865,6768
154.865,6814
154.865,6858
154.865,6903
154.865,6948
154.865,6995
154.865,7039
154.865,7084
154.865,7129
154.865,7174
154.865,7219
154.865,7263
154.865,7307
154.865,7352
154.865,7397
154.865,7442
154.865,7486
154.865,7530
154.865,7574
154.865,7617
154.865,7660
154.865,7704
154.865,7747
154.865,7790
154.865,7834
154.865,7877
154.865,7921
154.865,7965
154.865,8010
154.865,8054
154.865,8098
154.865,8141
154.865,8184
154.865,8228
154.865,8271
154.865,8315
154.865,8358
154.865,8402
154.865,8446
154.865,8490
154.865,8537
154.865,8583
154.865,8627
154.865,8671
154.865,8714
154.865,8757
154.865,8800
154.865,8842
154.865,8885
154.865,8930
154.865,8974
154.865,9022
154.865,9068
154.865,9112
154.865,9158
154.865,9201
154.865,9247
154.865,9291
154.865,9335
154.865,9380
154.865,9424
154.865,9468
154.865,9551
154.865,9610
154.865,9655
154.865,9716
154.865,9762
154.865,9808
154.865,9852
154.865,9897
154.865,9940
154.865,9984
154.865,10027
154.865,10074
154.865,10120
154.865,10165
154.865,10213
154.865,10262
154.865,10310
154.865,10358
154.865,10405
154.865,10451
154.865,10496
154.865,10541
154.865,10585
154.865,10630
154.865,10674
154.865,10717
154.865,10762
154.865,10811
154.865,10857
154.865,10901
154.865,11055
154.865,11188
154.865,11265
154.865,11313
154.865,11360
154.865,11406
154.865,11451
154.865,11496
154.865,11542
154.865,11587
154.865,11632
154.865,11677
154.865,11722
154.865,11766
154.865,11811
154.865,11857
154.865,11903
154.865,11949
154.865,11993
154.865,12038
154.865,12085
154.865,12130
154.865,12174
154.865,12219
154.865,12266
154.865,12313
154.865,12358
154.865,12404
154.865,12464
154.865,12513
154.865,12560
154.865,12607
154.865,12655
154.865,12702
154.865,12750
154.865,12798
154.865,12845
154.865,12891
154.865,12937
154.865,12985
154.865,13044
154.865,13136
154.865,13197
154.865,13295
154.865,13358
154.865,13439
154.865,13519
154.865,13567
154.865,13613
154.865,13660
154.865,13708
154.865,13755
154.865,13802
154.865,13849
154.865,13899
154.865,13948
154.865,13995
154.865,14042
154.865,14089
154.865,14137
154.865,14184
154.865,14231
154.865,14278
154.865,14326
154.865,14373
154.865,14422
154.865,14470
154.865,14518
154.865,14566
154.865,14614
154.865,14660
154.865,14707
154.865,14754
154.865,14804
154.865,14852
154.865,14899
154.865,14947
154.865,14994
154.865,15041
154.865,15090
154.865,15137
154.865,15186
154.865,15235
154.865,15285
154.865,15334
154.865,15382
154.865,15429
154.865,15476
154.865,15524
154.865,15574
154.865,15622
154.865,15669
154.865,15757
154.865,15808
154.865,15857
154.865,15905
154.865,15953
154.865,16001
154.865,16049
154.865,16097
154.865,16144
154.865,16192
154.865,16240
154.865,16289
154.865,16338
154.865,16386
154.865,16433
154.865,16481
154.865,16529
154.865,16576
154.865,16623
154.865,16670
154.865,16717
154.865,16764
154.865,16810
154.865,16856
154.865,16903
154.865,16951
154.865,17001
154.865,17050
154.865,17098
154.865,17147
154.865,17195
