x,y
80.2691,82.6677
42.7499,92.605
90.3726,9.30594
34.3177,14.6681
0.996234,71.5307
57.6381,90.7431
42.3478,88.8124
41.1473,37.9572
35.0623,67.2574
82.2383,11.9013
58.2054,26.205
52.2223,24.2015
44.6454,46.4993
57.793,9.53703
43.1939,44.3466
53.543,24.14
69.1127,84.4655
66.0278,66.6435
64.2493,3.91722
-0.752715,66.4693
38.2948,87.4497
41.9758,30.2527
62.6925,64.7698
7.26397,5.66282
69.1922,19.4276
48.7929,25.7576
93.3748,19.8859
74.605,56.3763
5.40725,92.5149
100.684,74.6744
59.318,10.4308
100.696,31.7704
87.2776,42.0005
38.1777,40.8666
34.6599,73.8521
58.4687,7.13469
84.5622,82.4072
46.6322,53.4552
7.75538,78.3495
64.8312,65.6049
98.3971,84.7611
6.78856,88.4611
33.4656,65.8331
67.1109,87.9967
8.66833,73.7776
10.6668,-3.64409
80.2946,65.9378
46.1681,50.6846
31.1215,19.7323
53.7998,65.9594
41.2563,29.2719
33.4971,63.0071
85.3445,9.90432
31.0409,69.9706
87.908,10.1745
0.120927,73.3256
27.6779,69.4832
99.7971,43.7044
90.061,9.73619
55.5625,67.0556
57.7905,102.561
72.1498,81.9385
28.5121,49.1538
64.1562,82.9399
71.807,75.7033
4.76446,15.2132
47.9757,51.6088
68.2637,20.2749
97.991,31.9181
51.5573,2.39629
15.6288,10.6605
77.7544,8.03489
21.0864,72.0802
76.1165,49.4404
48.9274,15.2477
66.3052,1.43025
40.1142,61.6042
57.2959,66.118
21.5423,39.4276
71.3932,49.2308
79.9654,15.7895
96.4421,26.4905
24.0366,45.9286
11.5477,37.1834
21.4541,90.3513
25.9221,65.5739
88.1902,39.6808
32.0926,72.209
2.71383,11.1891
55.9143,61.8918
6.2654,56.8829
20.0678,33.9478
-0.870962,37.0414
66.5757,74.8398
16.8022,28.2859
45.7476,49.8956
15.207,11.4253
49.5645,48.626
12.4067,37.0225
62.7234,21.9212
86.1622,93.1112
60.7194,89.7381
35.1129,18.871
54.6156,18.8603
102.844,53.4553
60.8945,9.94114
68.6927,-1.16973
27.059,66.8623
65.8996,77.4585
-0.770936,63.2104
62.0335,8.92339
15.6277,9.10274
37.5548,83.2185
7.18529,5.09125
54.3456,24.6504
0.997058,36.7195
29.5165,67.8656
75.7175,65.7785
66.4186,22.196
77.9524,52.0833
31.1255,91.358
45.7573,57.5143
-1.72462,94.8971
10.736,32.9377
59.4126,66.9829
33.4422,13.0506
65.1615,4.47254
67.0267,80.0442
17.9789,69.4051
63.9894,22.7288
21.9065,36.0795
34.231,65.2877
20.2785,8.09391
99.4746,46.7167
34.6405,11.1418
36.3268,18.6964
6.158,54.8314
7.26184,84.4844
37.5321,45.2327
82.942,95.5917
9.73004,32.5338
37.497,17.0386
43.9378,100.368
63.3913,12.6332
7.88111,54.6762
37.0708,43.4692
34.9314,15.7195
6.8701,53.6346
56.1826,90.5555
57.8472,11.1324
67.5949,-1.33264
35.8944,13.9367
43.3725,93.6663
58.0355,2.94214
-2.10049,77.5449
58.5245,22.7527
36.2288,86.4697
100.177,32.5567
62.8953,59.4319
85.5266,12.9425
10.3208,59.2125
48.1985,52.8716
83.0569,14.8491
18.1571,36.6032
79.1024,68.8077
34.3922,35.4779
81.5383,57.0109
101.763,45.0661
100.69,29.7081
69.4546,23.0556
82.8952,95.0885
56.64,11.548
21.1904,30.4323
61.5103,36.7796
78.9901,7.43016
55.0757,7.15681
48.0185,39.783
-4.9477,58.3839
69.4465,5.26602
83.036,41.6179
27.0951,69.3806
86.6797,88.571
97.6981,21.0042
103.519,88.1961
26.0784,69.4064
63.0669,80.4764
94.4237,83.1646
2.66622,84.3012
44.2622,43.249
38.7675,47.9467
24.4012,33.2291
57.5191,90.8967
37.6914,47.1916
24.2087,77.4604
32.2085,71.7119
61.5111,91.1245
75.8519,77.8712
71.3864,5.20586
27.4608,43.5004
32.7799,64.9809
57.477,18.1718
2.75418,84.8391
54.6402,12.9586
17.2779,34.9471
11.2104,57.7161
50.8146,19.9042
34.6949,53.5401
87.8194,22.9105
61.8445,66.6811
33.0348,41.8655
9.25475,32.8151
1.45825,14.0403
3.70274,56.8643
83.0009,50.3299
99.5536,23.2703
55.7373,24.0679
96.3789,57.2638
101.597,43.1392
76.9842,13.655
24.6562,2.28753
10.368,1.26397
22.8907,47.0548
73.3331,57.6942
86.6425,86.6887
67.2458,23.1338
59.8613,12.0654
46.6616,90.2596
6.16142,11.3245
43.2087,60.8494
99.4994,45.4767
81.1198,85.8457
67.7387,18.6951
82.5014,86.7014
57.6979,24.9394
97.7995,24.5746
45.0992,92.4887
40.5732,56.4385
53.911,5.82471
40.4843,24.4477
78.9676,13.965
97.8042,62.9458
40.8095,91.1753
31.3694,68.1307
68.4104,28.6028
42.4165,33.5524
72.6288,64.3579
67.9833,21.5457
30.9281,68.508
15.7482,95.4639
20.6177,11.4255
58.7302,61.2913
70.0828,6.11324
79.1476,71.4699
73.2275,77.1951
53.4707,22.1925
59.772,2.43545
40.9955,17.625
72.9553,50.5602
23.9324,75.6123
34.8024,71.3436
24.856,104.893
53.7705,10.2706
82.4591,86.8621
55.5194,90.4713
80.6802,86.8463
80.1507,56.3357
59.3654,69.2006
47.8423,42.1324
51.823,3.1843
59.1224,65.1771
54.2603,21.0901
8.39344,12.5844
27.0404,67.5024
25.772,44.3852
61.6565,83.6072
11.676,83.0649
62.3399,-0.822618
66.9091,66.5818
66.401,-2.34724
48.5029,12.1577
28.677,17.6496
48.8477,56.4946
77.5675,51.9547
39.1637,47.8299
47.4451,92.1369
55.1019,7.31547
80.8701,77.2696
69.8758,0.745946
17.7101,101.872
65.2436,63.7799
52.2985,8.32173
-5.16378,59.972
31.2646,75.2529
39.0195,32.8482
45.7565,35.0004
83.8307,46.5476
63.8311,7.74065
20.9725,30.7071
52.2389,0.978081
63.7171,1.94269
25.8109,48.0884
90.4626,3.65396
63.2692,18.6793
0.386165,72.4877
38.8154,41.3092
2.8585,90.1277
15.7572,63.4656
41.9431,52.9706
92.4804,15.8364
80.0216,45.6304
66.8486,27.7082
37.4849,23.9947
5.76739,13.3722
96.8379,20.4686
102.342,58.4595
14.311,-1.28141
77.8471,47.1583
28.4855,68.5752
65.345,19.8665
16.7062,85.8877
49.9716,14.0304
48.748,23.5223
2.15716,12.8269
85.4874,94.89
32.3214,67.7084
47.6039,23.9837
73.3881,76.5386
74.6543,8.72712
56.0385,5.45406
74.3222,52.6852
7.05381,79.6233
86.2499,84.0975
3.06442,65.4808
53.2066,23.6881
94.2656,83.7553
74.983,62.3247
42.5983,12.9754
64.3827,68.5968
85.1769,7.18404
95.8911,26.2835
44.6552,30.772
65.4872,80.161
41.0598,54.4917
7.52526,68.1191
47.4354,90.8862
