x,y
55.5217,68.2226
32.197,14.8099
27.7187,81.3622
97.8784,18.4321
106.867,19.699
52.1277,70.5957
15.1,30.6026
54.7022,71.5765
51.6688,69.0541
15.9091,38.3247
96.0464,18.4056
95.9826,18.7691
4.95577,37.9719
96.9232,22.4193
35.1887,9.07649
53.0826,63.2122
49.6381,67.8233
28.0271,84.7291
103.329,17.3969
92.8859,21.236
37.8424,10.1145
29.8728,15.3052
48.4385,64.3227
8.40033,33.5682
28.609,9.64313
52.2931,69.0509
8.12135,31.4632
101.583,18.674
100.299,18.529
9.67117,37.1181
30.475,9.07002
16.1897,37.026
102.721,25.4502
29.456,14.3735
9.29145,32.6324
54.2759,66.2833
25.7784,81.0528
54.5507,69.4482
37.5207,17.6002
4.43346,32.3856
29.0793,13.374
29.8023,77.7549
34.6269,12.9043
3.53237,30.5762
99.5803,23.9534
27.1459,80.0157
28.1414,14.9513
97.8794,23.3626
101.056,16.5022
52.1148,64.1867
5.99187,50.9712
84.6481,43.8806
5.86369,17.7867
0.217876,74.5963
61.5136,14.8664
94.8127,90.4323
33.5328,72.1049
0.142164,37.6901
31.4842,35.0983
92.4025,29.562
27.9293,95.1492
89.6405,21.0485
77.1627,1.57145
96.3637,39.5098
6.91525,63.1626
67.8353,73.8752
28.8399,23.1312
34.0248,82.2285
93.6707,1.92274
6.3695,54.2913
34.5286,25.3045
18.4215,28.7129
48.2761,76.6401
38.2865,7.49218
14.985,60.897
75.0427,5.88933
16.4489,86.9016
47.2225,14.1591
81.2755,45.2295
30.7889,89.4396
29.0988,74.5419
41.7887,49.9048
53.4145,40.6367
85.3886,86.133
51.578,36.7873
55.7985,68.4737
10.8974,28.0174
77.2827,97.1163
28.7977,80.0713
71.2724,76.1591
2.91636,96.0872
84.3581,50.4939
0.181243,86.5959
64.0176,1.74188
61.5532,77.5894
83.7085,14.8722
54.2684,93.1447
29.4657,60.7524
95.529,25.023
54.1079,9.28741
