x,y
14.5152,97.5298
46.2085,35.626
3.8196,52.2322
75.0262,20.8515
29.7106,11.9837
37.8494,69.5474
14.4495,22.5026
98.5191,47.5765
37.8275,38.2957
2.21052,13.119
51.3898,26.1347
28.3137,97.9911
20.1778,38.4889
11.516,88.8111
67.7542,77.3193
41.6267,12.151
17.6826,33.4848
83.8547,61.5045
62.232,53.9113
95.15,35.7738
44.1847,35.6235
42.3004,71.2039
29.3313,68.3116
71.4375,79.9456
43.0111,53.0137
38.8437,39.5658
98.3383,81.335
24.8268,42.9881
17.0392,61.4697
43.5677,81.2578
71.0937,48.6003
49.1966,85.417
69.4785,96.6497
76.4576,85.5499
14.4268,95.9728
34.6388,88.2017
68.4829,78.6878
24.3286,25.162
65.4889,36.7072
61.0686,56.6534
52.8739,40.2675
47.9902,77.6651
83.0111,0.456299
62.9071,74.4691
31.3808,24.059
34.7255,63.3298
46.8617,76.7999
66.5826,7.98768
84.0039,37.3507
76.8507,56.4202
19.1559,22.344
86.2481,40.0143
5.00648,97.7733
53.1152,25.5837
34.8969,15.521
64.3202,55.2325
19.6482,43.6405
70.7234,17.3299
16.449,50.036
3.22723,33.6687
2.31038,19.5403
65.7399,20.0007
46.7603,34.3046
51.8429,69.9315
12.0073,25.251
78.4026,91.9123
31.3792,83.9833
71.6101,41.0051
98.4597,44.8672
92.6475,76.6878
8.2079,5.28945
33.2636,76.3683
5.66321,66.7828
95.3446,31.3632
33.7811,13.5233
76.9934,92.1329
79.6885,73.6116
79.6265,54.306
1.94277,69.9514
81.5724,37.7143
49.5237,74.5248
40.3187,32.2751
60.9113,59.4919
30.881,50.0519
59.0536,41.3758
73.8262,86.5492
53.1193,46.0806
1.06904,88.5896
14.7655,35.8602
98.1292,62.4135
83.2955,83.2702
50.7356,84.2485
82.8616,36.9997
62.4747,86.2673
92.2888,26.9244
43.9352,79.493
50.3446,60.3229
9.25825,7.06819
39.2344,82.4412
45.2831,60.1539
