score,time
23349.6,107
22976.5,503
22976.5,1008
22976.5,1511
22976.5,2016
22976.5,2519
22976.5,3023
22976.5,3527
22976.5,4032
22976.5,4723
22976.5,5230
22976.5,5735
22976.5,6293
22976.5,6799
22976.5,7304
22976.5,7807
22976.5,8312
22976.5,8815
22976.5,9320
22976.5,9823
22976.5,10326
22976.5,10830
22976.5,11336
22976.5,11840
22976.5,12345
22976.5,12860
22976.5,13364
22976.5,13868
22976.5,14371
22976.5,14876
22976.5,15382
22976.5,15886
22976.5,16390
22976.5,16893
22976.5,17396
22976.5,17901
22976.5,18406
22976.5,18908
22976.5,19411
22976.5,19915
22976.5,20420
22939.3,20925
22803.1,21428
22803.1,21931
22803.1,22434
22803.1,22938
22803.1,23440
22695.6,23947
22695.6,24466
22695.6,24971
22695.6,25475
22695.6,25980
22695.6,26483
22695.6,26986
22695.6,27490
22695.6,27994
22695.6,28498
22695.6,29002
22695.6,29506
22695.6,30011
22695.6,30515
22695.6,31018
22695.6,31522
22695.6,32025
22695.6,32529
22695.6,33033
22695.6,33537
22695.6,34041
22695.6,34544
22695.6,35047
22695.6,35550
22695.6,36053
22695.6,36556
22695.6,37061
22695.6,37565
22695.6,38068
22695.6,38571
22695.6,39075
22695.6,39583
22695.6,40090
22695.6,40594
22695.6,41101
22695.6,41605
22695.6,42107
22695.6,42610
22695.6,43115
22695.6,43619
22695.6,44123
22695.6,44628
22695.6,45131
22695.6,45634
22695.6,46139
22695.6,46643
22695.6,47147
22695.6,47652
22695.6,48155
22695.6,48659
22695.6,49163
22695.6,49668
22695.6,50171
22695.6,50674
22695.6,51178
22695.6,51680
22695.6,52184
22695.6,52688
22695.6,53192
22695.6,53696
22695.6,54200
22695.6,54705
22695.6,55208
22695.6,55711
22695.6,56214
22695.6,56717
22695.6,57223
22695.6,57727
22695.6,58231
22695.6,58734
22695.6,59237
22695.6,59741
22695.6,60245
22695.6,60748
22695.6,61252
22695.6,61756
22451.3,62259
21851.6,62762
21574.5,63265
21441.8,63769
21214.7,64271
21100.1,64775
21100.1,65279
21100.1,65782
21100.1,66285
21100.1,66787
21100.1,67291
21100.1,67793
21100.1,68297
21100.1,68800
21100.1,69304
20659.2,69806
20230.8,70309
20230.8,70813
20230.8,71315
20230.8,71817
20230.8,72321
20230.8,72824
20230.8,73326
20230.8,73833
20230.8,74338
20230.8,74842
20230.8,75345
19293.8,75848
19293.8,76353
19034.3,76870
18334.3,77374
18334.3,77876
18334.3,78379
18155.3,78883
17980.8,79387
17535,79888
17535,80390
17535,80894
17535,81397
17535,81899
17535,82402
17535,82906
17535,83409
17535,83912
17535,84415
17471.6,84917
17348.4,85420
16931.2,85922
16718.7,86426
16395.5,86928
16206.1,87431
16196.2,87932
16090,88434
16090,88938
16090,89450
16090,89953
16090,90468
15949.6,90973
15873.6,91477
15868.2,91981
15765.9,92487
14874.5,92996
14669.7,93501
14669.7,94007
14669.7,94513
14070.6,95020
14070.6,95525
14070.6,96036
14070.6,96542
14070.6,97046
14070.6,97550
14070.6,98055
14070.6,98562
14070.6,99068
14070.6,99577
14070.6,100082
13697.4,100588
13492.9,101095
13355.3,101600
13326.3,102105
12885.9,102611
12394.7,103116
11954.6,103621
11524.4,104126
11340.4,104631
11161.2,105138
11161.2,105643
11161.2,106154
10939.2,106665
10743.2,107170
10683.3,107676
10683.3,108180
10683.3,108687
10679,109191
10547,109696
10511.4,110199
10511.4,110704
10268.5,111206
10166.3,111710
10166.3,112213
10166.3,112715
10166.3,113218
10166.3,113720
10166.3,114223
10166.3,114726
10166.3,115230
10057.9,115732
10057.9,116234
10028.6,116736
10028.6,117239
10028.6,117741
10028.6,118243
9980.57,118745
9980.57,119249
9852.25,119752
9852.25,120255
9852.25,120759
9852.25,121262
9852.25,121765
9852.25,122267
9852.25,122771
9852.25,123277
9732.52,123782
9708.64,124285
9708.64,124788
9579.87,125292
9453.1,125797
9391.87,126302
9312.55,126808
9312.55,127312
9063.65,127816
9063.65,128318
9063.65,128820
9063.65,129322
9063.65,129829
9035.25,130333
8908.21,130837
8787.2,131339
8701.48,131841
8634.96,132344
8598.21,132847
8494.39,133350
8494.39,133852
8494.39,134357
8494.39,134860
8494.39,135363
8429.28,135866
8323.43,136368
8254.55,136871
8205.02,137373
8133.71,137876
8099.73,138380
8084.85,138883
7975.06,139386
7955.38,139889
7955.38,140394
7955.38,140900
7729.6,141405
7658.14,141908
7465.16,142410
7390.3,142914
7380.13,143417
7167.78,143921
6989.11,144424
6838.77,144931
6775.34,145434
6749.93,145936
6749.93,146510
6709.07,147013
6664.41,147516
6519.23,148019
6398.3,148521
6398.3,149030
6387.74,149533
6387.74,150037
6387.74,150540
6387.74,151041
6387.74,151545
6387.74,152047
6387.74,152549
6387.74,153052
6387.74,153554
6387.74,154058
6312.82,154561
6288.35,155064
6288.35,155568
6260.07,156072
6255.4,156574
6245.58,157077
6243.51,157581
6074.4,158083
6038.56,158587
6038.56,159089
6027.83,159592
5985.34,160095
5910.3,160597
5902.93,161100
5902.93,161603
5843.66,162105
5815.23,162607
5755.26,163109
5755.26,163613
5738.5,164116
5673.2,164618
5614.34,165121
5540.83,165623
5453.6,166126
5391.84,166630
5391.84,167132
5391.84,167635
5364.73,168138
5256.43,168642
5174.47,169144
5142.3,169648
5142.3,170151
5142.3,170653
5142.3,171156
5141.62,171658
5125.88,172162
5125.88,172665
5125.88,173167
5109.93,173670
5108.14,174175
5101.08,174679
5095.63,175183
5088.6,175685
5049.52,176189
5039.32,176691
5017.33,177194
4966.94,177696
4924.18,178198
4889.71,178700
4868.97,179202
4868.4,179706
4862.13,180210
4858.92,180714
4858.92,181216
4858.92,181719
4858.92,182222
4858.14,182726
4817.58,183228
4782.58,183731
4779.5,184234
4765.1,184737
4707.59,185241
4707.19,185743
4681.63,186246
4680.71,186749
4662.73,187254
