score,time
820.871,503
820.871,1005
787.496,1507
698.092,2008
698.092,2510
698.092,3012
698.092,3514
698.092,4016
698.092,4517
698.092,5019
698.092,5521
698.092,6023
698.092,6525
698.092,7027
698.092,7529
659.878,8030
659.878,8532
659.878,9034
653.475,9535
653.475,10037
653.475,10539
653.475,11062
653.475,11565
643.266,12077
643.266,12579
573.335,13081
573.335,13583
573.335,14084
516.36,14586
484.261,15088
461.817,15590
461.817,16091
461.817,16594
447.479,17096
442.787,17598
442.787,18099
413.929,18601
410.713,19103
367.751,19605
364.812,20107
328.527,20608
299.789,21111
292.06,21613
281.545,22115
265.616,22616
242.419,23118
218.489,23620
213.591,24122
206.58,24624
195.93,25125
193.223,25627
191.099,26129
191.099,26631
191.099,27133
191.099,27635
190.98,28136
189.121,28638
187.546,29140
186.02,29642
184.865,30143
184.065,30645
183.228,31147
182.928,31649
182.928,32151
182.71,32652
182.615,33154
182.521,33656
182.507,34158
182.492,34660
182.483,35162
182.483,35663
182.483,36165
182.447,36667
182.356,37169
181.38,37670
181.072,38172
181.072,38674
181.004,39177
181.002,39679
180.983,40181
180.983,40683
180.983,41185
180.983,41687
180.983,42189
180.983,42690
180.983,43192
180.983,43694
180.983,44195
180.983,44697
180.983,45199
180.983,45701
180.983,46202
180.983,46704
180.983,47206
180.983,47708
180.983,48209
180.983,48711
180.983,49214
180.983,49716
180.983,50217
180.983,50719
180.983,51221
180.983,51723
180.983,52225
180.983,52726
180.983,53228
180.983,53730
180.983,54232
180.983,54734
180.983,55235
180.983,55737
180.983,56239
180.983,56741
180.983,57243
180.983,57744
180.983,58246
180.983,58748
180.983,59250
180.983,59751
180.983,60253
180.983,60755
180.983,61257
180.983,61759
180.983,62261
180.983,62762
180.983,63264
180.983,63766
180.983,64267
180.983,64769
180.983,65271
180.983,65773
180.983,66275
180.983,66776
180.983,67278
180.983,67780
180.983,68282
180.983,68784
180.983,69286
180.983,69788
180.983,70289
180.983,70791
180.983,71293
180.983,71795
180.983,72297
180.983,72799
180.983,73300
180.983,73802
180.983,74304
180.983,74806
180.983,75307
180.983,75816
180.983,76319
180.983,76821
180.983,77323
180.983,77824
180.983,78327
180.983,78828
180.983,79331
180.983,79833
180.983,80334
180.983,80836
180.983,81338
180.983,81840
180.983,82357
180.983,82860
180.983,83362
180.983,83863
180.983,84365
180.983,84867
180.983,85369
180.983,85871
180.983,86373
180.983,86874
180.983,87376
180.983,87878
180.983,88379
180.983,88881
180.983,89383
180.983,89885
180.983,90387
180.983,90888
180.983,91390
180.983,91892
180.983,92394
180.983,92896
180.983,93397
180.983,93899
180.983,94401
180.983,94903
180.983,95405
180.983,95907
180.983,96408
180.983,96910
180.983,97412
180.983,97914
180.983,98415
180.983,98917
180.983,99419
180.983,99921
180.983,100422
180.983,100924
180.983,101426
180.983,101928
180.983,102430
180.983,102932
180.983,103433
180.983,103935
180.983,104437
180.983,104938
180.983,105459
180.983,105961
180.983,106463
180.983,106964
180.983,107466
180.983,107968
180.983,108470
180.983,108971
180.983,109473
180.983,109975
180.983,110476
180.983,110978
180.983,111480
180.983,111982
180.983,112484
180.983,112985
180.983,113487
180.983,113989
180.983,114491
180.983,114992
180.983,115494
180.983,115996
180.983,116497
180.983,116999
180.983,117501
180.983,118003
180.983,118504
180.983,119006
180.983,119508
180.983,120010
180.983,120512
180.983,121013
180.983,121515
180.983,122017
180.983,122519
180.983,123021
180.983,123522
180.983,124024
180.983,124526
180.983,125028
180.983,125530
180.983,126031
180.983,126533
180.983,127035
180.983,127537
180.983,128038
180.983,128540
180.983,129042
180.983,129543
180.983,130045
180.983,130547
180.983,131049
180.983,131550
180.983,132052
180.983,132554
180.983,133056
180.983,133558
180.983,134060
180.983,134561
180.983,135063
180.983,135565
180.983,136067
180.983,136568
180.983,137070
180.983,137572
180.983,138074
180.983,138575
180.983,139077
180.983,139579
180.983,140081
180.983,140583
180.983,141084
180.983,141586
180.983,142088
180.983,142590
180.983,143091
180.983,143593
180.983,144095
180.983,144635
180.983,145138
180.983,145640
180.983,146141
180.983,146643
180.983,147145
180.983,147647
180.983,148149
180.983,148650
180.983,149152
180.983,149654
180.983,150155
180.983,150657
180.983,151159
180.983,151661
180.983,152162
180.983,152665
180.983,153166
180.983,153668
180.983,154170
180.983,154671
180.983,155173
180.983,155675
180.983,156176
180.983,156678
180.983,157180
180.983,157682
180.983,158184
180.983,158687
180.983,159191
180.983,159694
180.983,160196
180.983,160698
180.983,161200
180.983,161702
180.983,162204
180.983,162706
180.983,163208
180.983,163710
180.983,164212
180.983,164714
180.983,165216
180.983,165718
180.983,166220
180.983,166721
180.983,167223
180.983,167725
180.983,168227
180.983,168729
180.983,169230
180.983,169732
180.983,170234
180.983,170736
180.983,171237
180.983,171739
180.983,172241
180.983,172743
180.983,173244
