score,time
263.647,36
198.724,101
198.724,203
198.724,305
198.724,407
198.724,508
198.724,610
198.724,712
198.724,813
198.724,915
198.724,1017
198.724,1119
198.724,1220
198.724,1322
198.724,1424
198.724,1526
198.724,1627
198.724,1729
198.724,1831
198.724,1933
198.724,2034
198.724,2136
198.724,2238
198.724,2339
198.724,2441
198.724,2543
198.724,2645
198.724,2746
198.724,2848
198.724,2950
198.724,3052
198.724,3183
198.724,3301
198.724,3419
198.724,3537
198.724,3639
198.724,3741
198.724,3843
198.724,3945
198.724,4047
198.724,4149
198.724,4251
198.724,4352
198.724,4454
198.724,4556
198.724,4658
198.724,4759
198.724,4861
198.724,4963
198.724,5064
198.724,5166
198.724,5268
198.724,5370
198.724,5471
198.724,5573
198.724,5675
198.724,5777
198.724,5878
198.724,5980
198.724,6082
198.724,6185
198.724,6286
198.724,6388
198.724,6490
198.724,6592
198.724,6693
198.724,6795
198.724,6897
198.724,6998
198.724,7100
198.724,7202
198.724,7303
198.724,7405
198.724,7507
198.724,7609
198.724,7710
198.724,7812
198.724,7914
198.724,8016
198.724,8117
198.724,8219
198.724,8321
198.724,8422
198.724,8524
198.724,8626
198.724,8727
198.724,8829
198.724,8931
198.724,9033
198.724,9134
198.724,9236
198.724,9338
198.724,9439
198.724,9544
198.724,9647
198.724,9749
198.724,9851
198.724,9952
198.724,10054
198.724,10159
198.724,10262
198.724,10364
198.724,10466
198.724,10577
198.724,10679
198.724,10781
198.724,10897
198.724,11017
198.724,11122
198.724,11231
198.724,11333
198.724,11448
198.724,11577
198.724,11679
198.724,11781
198.724,11883
198.724,11985
198.724,12087
198.724,12188
198.724,12290
198.724,12392
198.724,12493
198.724,12595
198.724,12697
198.724,12798
198.724,12900
198.724,13002
198.724,13104
198.724,13205
198.724,13307
198.724,13409
198.724,13510
198.724,13612
198.724,13714
198.724,13815
198.724,13917
198.724,14019
198.724,14120
198.724,14222
198.724,14324
198.724,14426
198.724,14527
198.724,14629
198.724,14731
198.724,14832
198.724,14934
198.724,15060
198.724,15183
198.724,15285
198.724,15387
198.724,15488
198.724,15590
198.724,15692
198.724,15793
198.724,15895
198.724,15997
198.724,16099
198.724,16200
198.724,16302
198.724,16404
198.724,16506
198.724,16607
198.724,16709
198.724,16810
198.724,16912
198.724,17014
198.724,17116
198.724,17217
198.724,17319
198.724,17421
198.724,17522
198.724,17624
198.724,17726
198.724,17827
198.724,17929
198.724,18031
198.724,18133
198.724,18234
198.724,18336
198.724,18438
198.724,18539
198.724,18641
198.724,18743
198.724,18845
198.724,18946
198.724,19048
198.724,19150
198.724,19251
198.724,19353
198.724,19455
198.724,19556
198.724,19658
198.724,19760
198.724,19862
198.724,19963
198.724,20065
198.724,20167
198.724,20268
198.724,20370
198.724,20472
198.724,20574
198.724,20675
198.724,20777
198.724,20879
198.724,20980
198.724,21082
198.724,21184
198.724,21286
198.724,21388
198.724,21490
198.724,21592
198.724,21723
198.724,21825
198.724,21927
198.724,22029
198.724,22131
198.724,22232
198.724,22334
198.724,22436
198.724,22538
198.724,22639
198.724,22767
198.724,22870
198.724,22972
198.724,23074
198.724,23175
198.724,23277
198.724,23379
198.724,23481
198.724,23582
198.724,23684
198.724,23786
198.724,23887
198.724,23989
198.724,24091
198.724,24192
198.724,24294
198.724,24396
198.724,24497
198.724,24599
198.724,24701
198.724,24803
198.724,24905
198.724,25007
198.724,25108
198.724,25210
198.724,25312
198.724,25413
198.724,25515
198.724,25617
198.724,25718
198.724,25820
198.724,25922
198.724,26024
198.724,26125
198.724,26230
198.724,26332
198.724,26434
198.724,26536
198.724,26638
198.724,26739
198.724,26841
198.724,26943
198.724,27046
198.724,27147
198.724,27249
198.724,27352
198.724,27454
198.724,27556
198.724,27658
198.724,27760
198.724,27862
198.724,27964
198.724,28067
198.724,28169
198.724,28282
198.724,28393
198.724,28495
198.724,28597
198.724,28698
198.724,28800
198.724,28902
198.724,29004
198.724,29106
198.724,29207
198.724,29309
198.724,29411
198.724,29513
198.724,29614
198.724,29716
198.724,29818
198.724,29920
198.724,30021
198.724,30123
198.724,30225
198.724,30327
198.724,30428
198.724,30545
198.724,30647
198.724,30749
198.724,30898
198.724,31000
198.724,31102
198.724,31203
198.724,31305
198.724,31407
198.724,31508
198.724,31610
198.724,31727
198.724,31830
198.724,31931
198.724,32033
198.724,32135
198.724,32237
198.724,32338
198.724,32441
198.724,32543
198.724,32645
198.724,32746
198.724,32848
198.724,32959
198.724,33061
198.724,33163
198.724,33265
198.724,33367
198.724,33469
198.724,33582
198.724,33684
198.724,33799
198.724,33901
198.724,34003
198.724,34106
198.724,34209
198.724,34311
198.724,34413
198.724,34515
198.724,34617
198.724,34737
198.724,34840
198.724,34942
198.724,35060
198.724,35162
198.724,35265
198.724,35372
198.724,35473
198.724,35575
198.724,35677
198.724,35779
198.724,35880
198.724,35982
198.724,36083
198.724,36185
198.724,36287
198.724,36389
198.724,36490
198.724,36592
198.724,36694
198.724,36795
198.724,36897
198.724,36999
198.724,37101
198.724,37202
198.724,37304
198.724,37406
198.724,37526
198.724,37628
198.724,37730
198.724,37831
198.724,37933
198.724,38035
198.724,38136
198.724,38238
198.724,38340
198.724,38442
198.724,38543
198.724,38645
198.724,38747
198.724,38849
198.724,38951
198.724,39052
198.724,39154
198.724,39256
198.724,39357
198.724,39459
198.724,39561
198.724,39662
198.724,39764
198.724,39866
198.724,39968
198.724,40069
198.724,40171
198.724,40273
198.724,40374
198.724,40476
198.724,40578
198.724,40679
198.724,40781
198.724,40883
198.724,40984
198.724,41086
198.724,41188
198.724,41290
198.724,41391
198.724,41493
198.724,41595
198.724,41697
198.724,41798
198.724,41900
198.724,42002
198.724,42103
198.724,42205
198.724,42307
198.724,42408
198.724,42510
198.724,42628
198.724,42732
198.724,42836
198.724,42940
198.724,43053
198.724,43173
198.724,43275
198.724,43377
198.724,43479
198.724,43581
198.724,43683
198.724,43797
198.724,43899
198.724,44001
198.724,44122
198.724,44241
198.724,44353
198.724,44455
198.724,44558
198.724,44661
198.724,44763
198.724,44874
198.724,44976
198.724,45079
198.724,45181
198.724,45298
198.724,45401
198.724,45502
198.724,45604
198.724,45706
198.724,45808
198.724,45910
198.724,46023
198.724,46125
198.724,46226
198.724,46328
198.724,46430
198.724,46531
198.724,46633
198.724,46735
198.724,46836
198.724,46938
198.724,47040
198.724,47141
198.724,47243
198.724,47345
198.724,47446
198.724,47548
