score,time
8010.09,1245826
8010.09,2442408
7715.75,3633416
7715.75,4822375
7715.75,6002004
7715.75,7168580
7715.75,8331940
7715.75,9466685
7715.75,10553260
7715.75,11599343
7715.75,12529150
7696.84,13385122
7696.84,14058096
7696.84,14503045
7696.84,14753972
7696.84,14925230
7691.97,15111866
7688.31,15259966
7666.56,15370767
7617.39,15429809
7617.39,15470017
7617.39,15519790
7617.39,15585039
7572.76,15651992
7567.33,15712826
7567.33,15764676
7567.33,15802450
7567.33,15833105
7555.23,15865108
7555.23,15904497
7541.4,15943412
7538.23,15980986
7538.23,16018528
7538.23,16054470
7533.36,16090415
7462.94,16127753
7462.94,16170145
7462.94,16213432
7462.94,16259829
7462.94,16309114
7457.02,16346770
7457.02,16377061
7457.02,16405287
7425.63,16433754
7424.9,16465475
7409.88,16497560
7409.88,16528858
7409.88,16560256
7409.88,16593759
7409.88,16631239
7409.88,16676819
7401.85,16716388
7401.85,16746256
7394.14,16774373
7394.14,16801977
7392.61,16842844
7392.61,16884852
7392.61,16924428
7392.61,16954943
7392.61,16982545
7388.56,17010713
7365.37,17044854
7313.96,17076347
7313.96,17110736
7313.96,17143196
7313.96,17180672
7306.13,17222003
7306.13,17251193
7306.13,17279409
7306.13,17307054
7306.13,17334998
7293.12,17371411
7293.12,17412798
7293.12,17453095
7284.4,17489746
7282.78,17520420
7282.78,17559678
7282.78,17601555
7271.08,17645374
7271.08,17689479
7271.08,17727849
7269.28,17768466
7227.06,17811600
7227.06,17857223
7190.25,17896234
7190.25,17922633
7190.25,17949276
7190.25,17981324
7187.89,18015301
7187.89,18049554
7187.89,18085127
7187.89,18121634
7187.89,18159177
7187.89,18195407
7187.89,18230845
7185.38,18259686
7185.38,18289530
7183.97,18329534
7182.95,18373652
7182.95,18418400
7182.95,18472799
7179.58,18527120
7168.37,18582579
7137.74,18645483
7137.74,18712231
7132.9,18772214
7104.6,18833019
7104.6,18900332
7104.6,18977148
7104.6,19061969
7094.67,19141646
7094.67,19209147
7094.28,19271877
7094.28,19334646
7094.28,19396651
7092.86,19443149
7092.86,19479146
7090.26,19513150
7090.26,19546675
7089.87,19579095
7073.12,19608351
7073.12,19636137
7073.12,19667553
7072.34,19708229
7068.24,19749461
7064.11,19790031
7064.11,19821849
7036.5,19849423
7015.15,19876468
7009.66,19911734
7009.66,19947945
7009.66,19983980
7006.45,20016337
7006.45,20045566
7006.45,20074574
7006.45,20104047
6989.23,20136497
6989.23,20172969
6989.23,20210438
6989.23,20252782
6976.14,20286122
6976.14,20314851
6976.14,20342315
6976.14,20380354
6976.14,20420054
6971.44,20459109
6971.44,20496436
6971.44,20530087
6971.44,20562567
6959.69,20598902
6959.69,20637617
6919,20671091
6919,20707605
6908.58,20748074
6908.58,20795646
6908.58,20846220
6907.2,20897206
6907.2,20948594
6907.2,20996260
6881.89,21040487
6881.89,21088511
6835.17,21124155
6835.17,21158628
6835.17,21192183
6818.11,21230764
6818.11,21260427
6818.11,21288381
6791.68,21316441
6791.68,21345385
6791.68,21379311
6791.68,21414524
6772.14,21451629
6772.14,21490704
6763.45,21529835
6763.45,21573234
6753.61,21610632
6753.61,21643795
6753.61,21677328
6753.61,21707572
6753.61,21741796
6752.29,21779027
6752.21,21813369
6728.76,21844441
6725.87,21885569
6725.87,21924041
6725.87,21962444
6694.85,22001638
6694.85,22036871
6679.54,22066992
6679.54,22094056
6679.54,22120583
6675.45,22147171
6662.69,22177210
6662.69,22205404
6662.69,22236702
6658.67,22264832
6658.11,22291816
6658.11,22319429
6639.04,22353262
6639.04,22388279
6609.31,22416004
6609.31,22443002
6609.31,22480349
6590.83,22520606
6588.59,22558199
6588.59,22596229
6558.52,22629395
6545.82,22663490
6545.82,22696535
6545.82,22728107
6545.07,22757204
6543.85,22787700
6543.85,22820386
6543.85,22856216
6543.85,22891906
6543.85,22928175
6538.18,22964311
6528.44,23007823
6528.44,23051864
6528.44,23083067
6513.07,23117360
6513.07,23152300
6496.13,23180982
6496.13,23208865
6496.13,23237547
6484.39,23271078
6484.39,23306807
6480.09,23343090
6480.09,23381721
6468.66,23424602
6468.66,23469677
6468.66,23516303
6468.66,23567703
6453.65,23621904
6430.2,23669160
6430.2,23714142
6430.2,23761700
6430.2,23811000
6426.15,23854129
6426.15,23891065
6426.15,23924014
6414.29,23955496
6414.29,23987840
6414.29,24021020
6410.8,24049916
6410.8,24078930
6408.11,24108388
6408.11,24138837
6374.53,24177064
6360.2,24211353
6345.49,24241589
6345.49,24271581
6337.63,24303699
6321.91,24337186
6321.91,24371173
6317.24,24404021
6317.24,24437556
