score,time
212.982,212
202.563,271
191.811,328
191.811,381
191.811,433
191.811,482
191.811,531
191.811,578
191.811,628
190.533,677
190.533,727
190.533,778
190.533,828
190.533,878
190.533,926
190.533,974
190.533,1023
190.533,1070
190.533,1118
190.533,1165
190.533,1213
190.533,1262
190.533,1312
190.533,1362
190.533,1411
190.533,1460
190.533,1509
190.37,1557
190.37,1607
190.37,1656
190.37,1703
190.37,1751
146.562,1800
146.562,1850
146.562,1899
146.562,1948
146.562,1995
146.562,2042
146.562,2089
146.562,2136
146.562,2184
146.562,2231
146.562,2280
146.562,2328
146.562,2377
146.562,2426
146.562,2475
146.562,2524
146.562,2573
146.562,2621
146.562,2670
146.562,2720
146.562,2771
146.562,2821
146.562,2870
146.562,2919
146.562,2968
146.562,3017
146.562,3065
146.562,3115
146.562,3165
146.562,3213
146.562,3264
146.562,3311
146.562,3360
146.562,3408
146.562,3457
146.562,3504
146.562,3554
146.562,3604
146.562,3653
146.562,3702
146.562,3749
146.562,3799
146.562,3849
146.562,3899
146.562,3949
146.562,3997
146.562,4046
146.562,4096
146.562,4145
146.562,4196
146.562,4245
146.562,4294
146.562,4343
146.562,4391
146.562,4440
146.562,4490
146.562,4539
146.562,4588
146.562,4636
146.562,4685
146.562,4733
146.562,4780
146.562,4829
146.562,4877
146.562,4924
146.562,4970
146.562,5018
146.562,5067
146.562,5117
146.562,5164
146.562,5211
146.562,5259
146.562,5308
146.562,5358
146.562,5406
146.562,5456
146.562,5506
146.562,5556
146.562,5604
146.562,5656
146.562,5746
146.562,5796
146.562,5846
146.562,5895
146.562,5946
146.562,5994
146.562,6042
146.562,6090
146.562,6138
146.562,6188
146.562,6237
146.562,6285
146.562,6332
146.562,6378
146.562,6425
146.562,6473
146.562,6522
146.562,6570
146.562,6620
146.562,6668
146.562,6715
146.562,6762
146.562,6811
146.562,6859
146.562,6907
146.562,6955
146.562,7016
146.562,7062
146.562,7109
146.562,7158
146.562,7207
146.562,7254
146.562,7302
146.562,7349
146.562,7397
146.562,7446
146.562,7493
146.562,7541
146.562,7589
146.562,7636
146.562,7683
146.562,7732
146.562,7780
146.562,7829
146.562,7878
146.562,7926
146.562,7972
146.562,8018
146.562,8064
146.562,8111
146.562,8159
146.562,8206
146.562,8254
146.562,8301
146.562,8349
146.562,8396
146.562,8442
146.562,8487
146.562,8533
146.562,8582
146.562,8631
146.562,8680
146.562,8727
146.562,8774
146.562,8822
146.562,8868
146.562,8917
146.562,8964
146.562,9012
146.562,9060
146.562,9107
146.562,9153
146.562,9201
146.562,9250
146.562,9298
146.562,9346
146.562,9394
146.562,9442
146.562,9490
146.562,9537
146.562,9586
146.562,9634
146.562,9680
146.562,9730
146.562,9779
146.562,9826
146.562,9873
146.562,9919
146.562,9967
146.562,10013
146.562,10059
146.562,10105
146.562,10151
146.562,10197
146.562,10244
146.562,10291
146.562,10337
146.562,10384
146.562,10431
146.562,10478
146.562,10526
146.562,10572
146.562,10619
146.562,10666
146.562,10825
146.562,10901
146.562,10956
146.562,11012
146.562,11064
146.562,11115
146.562,11164
146.562,11213
146.562,11274
146.562,11343
146.562,11439
146.562,11524
146.562,11574
146.562,11623
146.562,11705
146.562,11758
146.562,11808
146.562,11890
146.562,11958
146.562,12010
146.562,12072
146.562,12142
146.562,12204
146.562,12251
146.562,12298
146.562,12345
146.562,12411
146.562,12460
146.562,12541
146.562,12593
146.562,12643
146.562,12697
146.562,12750
146.562,12803
146.562,12877
146.562,12941
146.562,13011
146.562,13063
146.562,13115
146.562,13169
146.562,13235
146.562,13307
146.562,13373
146.562,13455
146.562,13515
146.562,13563
146.562,13611
146.562,13659
146.562,13706
146.562,13755
146.562,13803
146.562,13850
146.562,13897
146.562,13944
146.562,13990
146.562,14037
146.562,14083
146.562,14130
146.562,14176
146.562,14223
146.562,14270
146.562,14317
146.562,14363
146.562,14409
146.562,14455
146.562,14501
146.562,14546
146.562,14594
146.562,14640
146.562,14687
146.562,14734
146.562,14779
146.562,14826
146.562,14875
146.562,14922
146.562,14972
146.562,15019
146.562,15066
146.562,15113
146.562,15158
146.562,15204
146.562,15250
146.562,15295
146.562,15343
146.562,15395
146.562,15442
146.562,15488
146.562,15575
146.562,15656
146.562,15749
146.562,15810
146.562,15858
146.562,15974
146.562,16024
146.562,16073
146.562,16120
146.562,16168
146.562,16216
146.562,16263
146.562,16311
146.562,16358
146.562,16404
146.562,16454
146.562,16502
146.562,16551
146.562,16601
146.562,16649
146.562,16696
146.562,16743
146.562,16790
146.562,16837
146.562,16884
146.562,16930
146.562,16976
146.562,17022
146.562,17070
146.562,17116
146.562,17162
146.562,17207
146.562,17257
146.562,17357
146.562,17427
146.562,17509
146.562,17593
146.562,17687
146.562,17765
146.562,17847
146.562,17926
146.562,17986
146.562,18034
146.562,18081
146.562,18129
146.562,18177
146.562,18223
146.562,18272
146.562,18318
146.562,18365
146.562,18412
146.562,18459
146.562,18524
146.562,18603
146.562,18656
146.562,18704
146.562,18803
146.562,18910
146.562,18997
146.562,19081
146.562,19145
146.562,19205
146.562,19292
146.562,19358
146.562,19458
146.562,19507
146.562,19589
146.562,19639
146.562,19702
146.562,19749
146.562,19810
146.562,19856
146.562,19923
146.562,20003
146.562,20063
146.562,20109
146.562,20154
146.562,20199
146.562,20246
146.562,20291
146.562,20338
146.562,20385
146.562,20432
146.562,20477
146.562,20523
146.562,20569
146.562,20616
146.562,20666
146.562,20715
146.562,20764
146.562,20817
146.562,20865
146.562,20913
146.562,20962
146.562,21010
146.562,21057
146.562,21106
146.562,21155
146.562,21203
146.562,21251
146.562,21298
146.562,21344
146.562,21393
146.562,21441
146.562,21489
146.562,21535
146.562,21581
146.562,21629
146.562,21678
146.562,21728
146.562,21777
146.562,21825
146.562,21873
146.562,21922
146.562,21970
146.562,22018
146.562,22065
146.562,22113
146.562,22160
146.562,22206
146.562,22252
146.562,22299
146.562,22346
146.562,22392
146.562,22442
146.562,22489
146.562,22537
146.562,22587
146.562,22636
146.562,22683
146.562,22730
146.562,22776
146.562,22826
146.562,22875
146.562,22925
146.562,22973
146.562,23021
146.562,23067
146.562,23114
146.562,23160
146.562,23206
146.562,23251
146.562,23297
146.562,23343
146.562,23388
146.562,23434
146.562,23482
146.562,23530
146.562,23581
146.562,23629
146.562,23676
146.562,23721
146.562,23767
146.562,23814
146.562,23861
146.562,23908
146.562,23954
146.562,24001
146.562,24047
146.562,24094
146.562,24139
146.562,24190
146.562,24238
146.562,24288
146.562,24337
146.562,24386
146.562,24434
146.562,24481
146.562,24530
146.562,24576
146.562,24624
146.562,24672
146.562,24719
146.562,24765
146.562,24812
146.562,24858
146.562,24906
146.562,24953
146.562,25001
146.562,25051
146.562,25099
146.562,25147
146.562,25193
146.562,25240
146.562,25287
146.562,25334
146.562,25380
146.562,25426
146.562,25473
146.562,25518
146.562,25564
146.562,25611
146.562,25657
146.562,25702
146.562,25748
146.562,25797
146.562,25845
146.562,25891
146.562,25939
146.562,25985
146.562,26031
146.562,26076
146.562,26122
146.562,26168
146.562,26217
146.562,26264
146.562,26310
146.562,26356
146.562,26402
146.562,26449
146.562,26495
146.562,26541
146.562,26586
146.562,26635
146.562,26683
146.562,26729
146.562,26775
146.562,26821
146.562,26867
146.562,26912
146.562,26957
146.562,27020
146.562,27069
146.562,27116
146.562,27163
146.562,27211
146.562,27259
146.562,27309
146.562,27358
146.562,27408
146.562,27459
146.562,27508
146.562,27556
146.562,27603
146.562,27651
146.562,27698
146.562,27745
146.562,27794
146.562,27841
146.562,27888
146.562,27939
146.562,27988
146.562,28037
146.562,28084
146.562,28131
146.562,28180
146.562,28228
146.562,28275
146.562,28324
146.562,28372
146.562,28419
146.562,28466
146.562,28513
146.562,28559
146.562,28607
146.562,28655
146.562,28703
146.562,28751
146.562,28801
146.562,28851
146.562,28899
146.562,28948
146.562,28997
146.562,29046
146.562,29095
146.562,29143
146.562,29191
146.562,29238
146.562,29285
146.562,29332
146.562,29379
146.562,29427
146.562,29512
146.562,29587
146.562,29639
146.562,29704
146.562,29774
146.562,29839
146.562,29888
146.562,29955
146.562,30017
146.562,30087
146.562,30148
146.562,30197
146.562,30246
146.562,30294
146.562,30342
146.562,30390
146.562,30438
146.562,30486
146.562,30533
146.562,30579
146.562,30626
146.562,30672
146.562,30719
146.562,30765
146.562,30817
146.562,30903
146.562,30953
146.562,31002
146.562,31051
146.562,31099
146.562,31146
146.562,31193
146.562,31240
146.562,31292
146.562,31342
146.562,31389
146.562,31436
146.562,31483
146.562,31530
146.562,31582
146.562,31631
146.562,31678
146.562,31726
146.562,31774
146.562,31821
146.562,31870
146.562,31921
146.562,31971
146.562,32020
146.562,32068
146.562,32116
146.562,32165
146.562,32253
146.562,32302
146.562,32350
146.562,32398
146.562,32447
146.562,32494
146.562,32541
146.562,32593
146.562,32642
146.562,32690
146.562,32737
146.562,32784
146.562,32832
146.562,32879
146.562,32927
146.562,32974
146.562,33020
146.562,33068
146.562,33116
146.562,33163
146.562,33210
146.562,33256
146.562,33304
146.562,33351
146.562,33402
146.562,33451
146.562,33502
146.562,33552
146.562,33601
146.562,33649
146.562,33696
146.562,33744
146.562,33791
146.562,33838
146.562,33886
146.562,33935
146.562,33986
146.562,34036
146.562,34086
146.562,34135
146.562,34182
146.562,34229
146.562,34276
146.562,34325
146.562,34372
146.562,34419
146.562,34466
146.562,34514
146.562,34562
146.562,34609
146.562,34655
146.562,34703
146.562,34754
146.562,34805
146.562,34854
146.562,34902
146.562,34950
146.562,34998
146.562,35047
146.562,35095
146.562,35143
146.562,35189
146.562,35236
146.562,35283
146.562,35331
146.562,35380
146.562,35428
146.562,35475
146.562,35523
146.562,35570
146.562,35617
146.562,35665
146.562,35712
146.562,35761
146.562,35809
146.562,35856
146.562,35905
146.562,35953
146.562,36001
146.562,36052
146.562,36102
146.562,36153
146.562,36202
146.562,36251
146.562,36299
146.562,36347
146.562,36393
146.562,36440
146.562,36489
146.562,36536
146.562,36583
146.562,36631
146.562,36678
146.562,36726
146.562,36775
146.562,36822
146.562,36871
146.562,36919
146.562,36968
146.562,37028
146.562,37074
146.562,37120
146.562,37165
146.562,37211
146.562,37257
146.562,37302
146.562,37349
146.562,37396
146.562,37442
146.562,37488
146.562,37534
146.562,37579
146.562,37625
146.562,37673
146.562,37719
146.562,37768
146.562,37816
146.562,37863
146.562,37909
146.562,37957
146.562,38008
146.562,38056
146.562,38103
146.562,38150
146.562,38197
146.562,38243
146.562,38289
146.562,38336
146.562,38383
146.562,38429
146.562,38479
146.562,38527
146.562,38573
146.562,38620
146.562,38666
146.562,38713
146.562,38760
146.562,38809
146.562,38857
146.562,38904
146.562,38971
146.562,39076
146.562,39149
146.562,39196
146.562,39244
146.562,39292
146.562,39339
146.562,39386
146.562,39432
146.562,39477
146.562,39523
146.562,39569
146.562,39616
146.562,39664
146.562,39712
146.562,39763
146.562,39813
146.562,39861
146.562,39909
146.562,39955
146.562,40000
146.562,40047
146.562,40093
146.562,40139
146.562,40184
146.562,40229
146.562,40278
146.562,40326
146.562,40373
146.562,40419
146.562,40467
146.562,40513
146.562,40559
146.562,40604
146.562,40650
146.562,40697
146.562,40743
146.562,40788
146.562,40836
146.562,40881
146.562,40926
146.562,40972
146.562,41018
146.562,41063
146.562,41110
146.562,41156
146.562,41201
146.562,41247
146.562,41293
146.562,41338
146.562,41385
146.562,41431
146.562,41477
146.562,41524
146.562,41571
146.562,41618
146.562,41664
146.562,41710
146.562,41756
146.562,41802
146.562,41850
146.562,41896
146.562,41942
146.562,41988
146.562,42034
146.562,42080
146.562,42126
146.562,42175
146.562,42223
146.562,42270
146.562,42316
146.562,42361
146.562,42406
146.562,42454
146.562,42500
146.562,42545
146.562,42592
146.562,42638
146.562,42686
146.562,42732
146.562,42778
146.562,42823
146.562,42868
146.562,42915
146.562,42962
146.562,43008
146.562,43053
146.562,43103
146.562,43150
146.562,43198
146.562,43247
146.562,43296
146.562,43343
146.562,43392
146.562,43439
146.562,43487
146.562,43621
146.562,43684
146.562,43732
146.562,43779
146.562,43827
146.562,43873
146.562,43919
146.562,43965
146.562,44011
146.562,44057
146.562,44103
146.562,44148
146.562,44194
146.562,44239
146.562,44284
146.562,44330
146.562,44375
146.562,44422
146.562,44468
146.562,44514
146.562,44560
146.562,44606
146.562,44653
146.562,44704
146.562,44753
146.562,44821
146.562,44882
146.562,44949
146.562,45091
146.562,45183
146.562,45295
146.562,45348
146.562,45401
146.562,45452
146.562,45506
146.562,45572
146.562,45623
146.562,45682
146.562,45742
146.562,45795
146.562,45848
146.562,45899
146.562,45955
146.562,46011
146.562,46063
146.562,46119
146.562,46171
146.562,46235
146.562,46304
146.562,46358
146.562,46411
146.562,46466
146.562,46532
146.562,46605
146.562,46681
146.562,46737
146.562,46789
146.562,46852
146.562,46954
146.562,47017
146.562,47067
146.562,47116
146.562,47166
146.562,47215
146.562,47263
146.562,47312
146.562,47360
146.562,47407
146.562,47454
146.562,47501
146.562,47552
146.562,47602
146.562,47650
146.562,47699
146.562,47747
146.562,47794
146.562,47842
146.562,47890
146.562,47937
146.562,47986
146.562,48037
146.562,48087
146.562,48135
146.562,48182
146.562,48229
146.562,48277
146.562,48324
146.562,48372
146.562,48424
146.562,48473
146.562,48521
146.562,48568
146.562,48615
146.562,48661
146.562,48709
146.562,48757
146.562,48804
146.562,48852
146.562,48899
146.562,48945
146.562,48993
146.562,49040
146.562,49091
146.562,49140
146.562,49189
146.562,49237
146.562,49286
146.562,49333
146.562,49381
146.562,49428
146.562,49474
146.562,49522
146.562,49569
146.562,49617
146.562,49664
146.562,49713
146.562,49761
146.562,49807
146.562,49854
146.562,49901
146.562,49948
146.562,49995
146.562,50044
146.562,50092
146.562,50139
146.562,50188
146.562,50239
146.562,50289
146.562,50339
146.562,50389
146.562,50437
146.562,50485
146.562,50533
146.562,50581
146.562,50628
146.562,50675
146.562,50722
