score,time
160.688,26320
155.615,34033
153.093,42058
146.718,50379
146.718,59234
146.718,66498
146.718,74039
146.718,81181
146.718,88293
145.692,95725
145.692,103405
145.692,111259
145.692,118340
145.692,126892
145.692,136284
145.692,145616
145.692,155834
145.692,164410
145.692,172391
145.692,179958
145.692,188467
145.692,198247
145.692,207208
145.692,217295
145.692,228045
145.692,236225
145.692,245328
145.692,254034
145.692,264731
145.692,276000
145.692,286601
145.692,298568
145.692,308507
145.692,319121
145.692,328499
145.692,338469
145.692,348549
145.692,358658
145.692,369725
145.692,380926
145.692,390907
145.692,401054
145.692,412396
145.692,423085
145.692,433013
145.692,441681
145.692,450906
145.692,459517
145.692,469122
145.692,477592
145.692,486495
145.692,495272
145.692,503395
145.692,511220
145.692,519135
145.692,527027
145.692,534900
145.692,542603
145.692,551518
145.692,559479
145.692,567371
145.692,575096
145.692,583868
145.692,591932
145.692,599693
145.692,607498
145.692,616551
145.692,626035
145.692,634999
145.692,646707
145.692,656383
145.692,665489
145.692,673913
145.692,682002
145.692,689475
145.692,697392
145.692,704663
145.692,712275
145.692,719524
145.692,727342
145.692,735382
145.692,743035
145.692,750732
145.692,758726
145.692,766159
145.692,773860
145.692,781726
145.692,789072
145.692,797130
145.692,805887
145.692,813470
145.692,820776
145.692,828535
145.692,836164
145.692,844566
145.692,852416
145.692,863597
145.692,876189
145.692,885298
145.692,893947
145.692,902001
145.692,910192
145.692,919808
145.692,929925
145.692,939557
145.692,948119
145.692,956478
145.692,965192
145.692,972900
145.692,980392
145.692,989412
145.692,998209
145.692,1006364
145.692,1015326
145.692,1023277
145.692,1030941
145.692,1038694
145.692,1046140
145.692,1053733
145.692,1061238
145.692,1068951
145.692,1076211
145.692,1083448
145.692,1090762
145.692,1098270
145.692,1105415
145.692,1112557
145.692,1120415
145.692,1127591
145.692,1134831
145.692,1141894
145.692,1148758
145.692,1155610
145.692,1163676
145.692,1171157
145.692,1178410
145.692,1185439
145.692,1192454
145.692,1199391
145.692,1206525
145.692,1213274
145.692,1220040
145.692,1226853
145.692,1233580
145.692,1240310
145.692,1247136
145.692,1254473
145.692,1261545
145.692,1269029
145.692,1276249
145.692,1283979
145.692,1291271
145.692,1298309
145.692,1305330
145.692,1312110
145.692,1318775
145.692,1325725
145.692,1332609
145.692,1339224
145.692,1345908
145.692,1352706
145.692,1359657
145.692,1366525
145.692,1373175
145.692,1379799
145.692,1386476
145.692,1393190
145.692,1399878
145.692,1406595
145.692,1413981
145.692,1421147
145.692,1428460
145.692,1435755
145.692,1443042
145.692,1450314
145.692,1457071
145.692,1468419
145.692,1477435
145.692,1485220
145.692,1493202
145.692,1500728
145.692,1508399
145.692,1516036
145.692,1523412
145.692,1531537
145.692,1539087
145.692,1547293
145.692,1555184
145.692,1565015
145.692,1575749
145.692,1585041
145.692,1593409
145.692,1601598
145.692,1609831
145.692,1617774
145.692,1627412
145.692,1635286
145.692,1643141
145.692,1651047
145.692,1658971
145.692,1666487
145.692,1674013
145.692,1681697
145.692,1689129
145.692,1696659
145.692,1703771
145.692,1711280
145.692,1718678
145.692,1726147
145.692,1733411
145.692,1740940
145.692,1748686
145.692,1756246
145.692,1763942
145.692,1771288
145.692,1779329
145.692,1788600
145.692,1797316
145.692,1805244
145.692,1813941
145.692,1821434
145.692,1830001
145.692,1837701
145.692,1846578
145.692,1853967
145.692,1862495
145.692,1870242
145.692,1878111
145.692,1886004
145.692,1894573
145.692,1902836
145.692,1910972
145.692,1919039
145.692,1927120
145.692,1934722
145.692,1942542
145.692,1949956
145.692,1957414
145.692,1964886
145.692,1972431
145.692,1980087
145.692,1987518
145.692,1995236
145.692,2002803
145.692,2010758
145.692,2018415
145.692,2026058
145.692,2033525
145.692,2040732
145.692,2048308
145.692,2055885
145.692,2063620
145.692,2071100
145.692,2079016
145.692,2086568
145.692,2094399
145.692,2101722
145.692,2109846
145.692,2121915
145.692,2131515
145.692,2139941
145.692,2148709
145.692,2157457
145.692,2165826
145.692,2173460
145.692,2181315
145.692,2188574
145.692,2196038
145.692,2203548
145.692,2211323
145.692,2220362
145.692,2227803
145.692,2235191
145.692,2242537
145.692,2250438
145.692,2258430
145.692,2266852
145.692,2274853
145.692,2282871
145.692,2291011
145.692,2298479
145.692,2306324
145.692,2314836
145.692,2322503
145.692,2330222
145.692,2337747
145.692,2345657
145.692,2353511
145.692,2361364
145.692,2369515
145.692,2377280
145.692,2385055
145.692,2392801
145.692,2400802
145.692,2408810
145.692,2416407
145.692,2423935
145.692,2431338
145.692,2438612
145.692,2445950
145.692,2453349
145.692,2460563
145.692,2467750
145.692,2474821
145.692,2481650
145.692,2488341
145.692,2494995
145.692,2501620
145.692,2508512
145.692,2515177
145.692,2522908
145.692,2529948
145.692,2536639
145.692,2543350
145.692,2550029
145.692,2557560
145.692,2565359
145.692,2573303
145.692,2580887
145.692,2588506
145.692,2596156
145.692,2603825
145.692,2611456
145.692,2619086
145.692,2627095
145.692,2634599
145.692,2642085
145.692,2649496
145.692,2656896
145.692,2665316
145.692,2673260
145.692,2682244
145.692,2690116
145.692,2698657
145.692,2706731
145.692,2714661
145.692,2722785
145.692,2731242
145.692,2740011
145.692,2747981
145.692,2755859
145.692,2763798
145.692,2772280
145.692,2780247
145.692,2788442
145.692,2796257
145.692,2804241
145.692,2812142
145.692,2820216
145.692,2828062
145.692,2836271
145.692,2844253
145.692,2852287
145.692,2860048
145.692,2867721
145.692,2876169
145.692,2883907
145.692,2891441
145.692,2899097
145.692,2906438
145.692,2914039
145.692,2921367
145.692,2929461
145.692,2936888
145.692,2944211
145.692,2952724
145.692,2960979
145.692,2969166
145.692,2977309
145.692,2984687
145.692,2992100
145.692,2999647
145.692,3006843
145.692,3014139
145.692,3021321
145.692,3028476
145.692,3035376
145.692,3042242
145.692,3049152
145.692,3056590
145.692,3063973
145.692,3071208
145.692,3078539
145.692,3085909
145.692,3093536
145.692,3101186
145.692,3108699
145.692,3115854
145.692,3123469
145.692,3130983
145.692,3138390
145.692,3145517
145.692,3152781
145.692,3160211
145.692,3168598
145.692,3176781
145.692,3184630
145.692,3192367
145.692,3200471
145.692,3208470
145.692,3216023
145.692,3223593
145.692,3231239
145.692,3238934
145.692,3246783
145.692,3254474
145.692,3262320
145.692,3270588
145.692,3278482
145.692,3286168
145.692,3294095
145.692,3301945
145.692,3309471
145.692,3316881
145.692,3324301
145.692,3331690
145.692,3338951
145.692,3346095
145.692,3353150
145.692,3359786
145.692,3366636
145.692,3373300
145.692,3380300
145.692,3387193
145.692,3393824
145.692,3400536
145.692,3407189
145.692,3413951
145.692,3420628
145.692,3427299
145.692,3433970
145.692,3440679
145.692,3447513
145.692,3454389
145.692,3461068
145.692,3467820
145.692,3474578
145.692,3481295
145.692,3488044
145.692,3494723
145.692,3501477
145.692,3508163
145.692,3515057
145.692,3521781
145.692,3528651
145.692,3535422
145.692,3542105
145.692,3549036
145.692,3556066
145.692,3563034
145.692,3570117
145.692,3576988
145.692,3583701
145.692,3590395
145.692,3596985
145.692,3603737
145.692,3610393
145.692,3617056
145.692,3623958
145.692,3630626
145.692,3637396
145.692,3644346
145.692,3651277
145.692,3657950
145.692,3665145
145.692,3672245
145.692,3679479
145.692,3686441
145.692,3693162
145.692,3699938
145.692,3706653
145.692,3713882
145.692,3721070
145.692,3728549
145.692,3735958
145.692,3743078
145.692,3750384
145.692,3757959
145.692,3765395
145.692,3772790
145.692,3780346
145.692,3788291
145.692,3795696
145.692,3803153
145.692,3810668
145.692,3818103
145.692,3826388
145.692,3834981
145.692,3842724
145.692,3850858
145.692,3858674
145.692,3866743
145.692,3875141
145.692,3883486
145.692,3891367
145.692,3899263
145.692,3907110
145.692,3915032
145.692,3922951
145.692,3930777
145.692,3938665
145.692,3946445
145.692,3954356
145.692,3961995
145.692,3969907
145.692,3977735
145.692,3986434
145.692,3994595
145.692,4002822
145.692,4010783
145.692,4018754
145.692,4026305
145.692,4033905
145.692,4041311
145.692,4048642
145.692,4056026
145.692,4063479
145.692,4070730
145.692,4078166
145.692,4085426
145.692,4092709
145.692,4100131
145.692,4107542
145.692,4114942
145.692,4122364
145.692,4129716
145.692,4136787
145.692,4143662
145.692,4150572
145.692,4157645
145.692,4164879
145.692,4172477
145.692,4180109
145.692,4187583
145.692,4194960
145.692,4202466
145.692,4209817
145.692,4217305
145.692,4224868
145.692,4232226
145.692,4239527
145.692,4247266
145.692,4254887
145.692,4262568
145.692,4269655
145.692,4276730
145.692,4283977
145.692,4292512
145.692,4300086
145.692,4308203
145.692,4315712
145.692,4323086
145.692,4331617
145.692,4339224
145.692,4346699
145.692,4354163
145.692,4361371
145.692,4368717
145.692,4375952
145.692,4383187
145.692,4390114
145.692,4396952
145.692,4403669
145.692,4411204
145.692,4418458
145.692,4425456
145.692,4432242
145.692,4439197
145.692,4445890
145.692,4452717
145.692,4459441
145.692,4466112
145.692,4472839
145.692,4479503
145.692,4486612
145.692,4494390
145.692,4501484
145.692,4508196
145.692,4514885
145.692,4521874
145.692,4528680
145.692,4535623
145.692,4542629
145.692,4549590
145.692,4556291
145.692,4563115
145.692,4569826
145.692,4576675
145.692,4583392
145.692,4590024
145.692,4596735
145.692,4604099
145.692,4610943
145.692,4618340
145.692,4625918
145.692,4633332
145.692,4640758
145.692,4648152
145.692,4655543
145.692,4664209
145.692,4672673
145.692,4681031
145.692,4688950
145.692,4697100
145.692,4704900
145.692,4713101
145.692,4720705
145.692,4728632
145.692,4736281
145.692,4745165
145.692,4752975
145.692,4760899
145.692,4768500
145.692,4776501
145.692,4784518
145.692,4792519
145.692,4800072
145.692,4807857
145.692,4815766
145.692,4823819
145.692,4832301
145.692,4840428
145.692,4849113
145.692,4856984
145.692,4864557
145.692,4871881
145.692,4880689
145.692,4888162
145.692,4897173
145.692,4904579
145.692,4913408
145.692,4920777
145.692,4929116
145.692,4936675
145.692,4945379
145.692,4952612
145.692,4961752
145.692,4969584
145.692,4977681
145.692,4985347
145.692,4994356
145.692,5001838
145.692,5009804
145.692,5017189
145.692,5025577
145.692,5033145
145.692,5041685
145.692,5049838
145.692,5057944
145.692,5065573
145.692,5073328
145.692,5081839
145.692,5089375
145.692,5098432
145.692,5106214
145.692,5114331
145.692,5121765
145.692,5130392
145.692,5137619
145.692,5146975
145.692,5154535
145.692,5162852
145.692,5170282
145.692,5178582
145.692,5186098
145.692,5194711
145.692,5201844
145.692,5210384
145.692,5218060
145.692,5226353
145.692,5233981
145.692,5242543
145.692,5249880
145.692,5258015
145.692,5265445
145.692,5273139
145.692,5280969
145.692,5288362
145.692,5297216
145.692,5304703
145.692,5312974
145.692,5320459
145.692,5328387
145.692,5335409
145.692,5343121
145.692,5350178
145.692,5357920
145.692,5365185
145.692,5372807
145.692,5380930
145.692,5388185
145.692,5396294
145.692,5403604
145.692,5411998
145.692,5419194
145.692,5427377
145.692,5434829
145.692,5442404
145.692,5449560
145.692,5457093
145.692,5464387
145.692,5471658
145.692,5479635
145.692,5486738
145.692,5496355
145.692,5505231
145.692,5513083
145.692,5520391
145.692,5528443
145.692,5535893
145.692,5543317
145.692,5550426
145.692,5557459
145.692,5564605
145.692,5571473
145.692,5578170
145.692,5585071
145.692,5592023
145.692,5598757
145.692,5605469
145.692,5612297
145.692,5619099
145.692,5625897
145.692,5632651
145.692,5639374
145.692,5646162
145.692,5652795
145.692,5659604
145.692,5666531
145.692,5673947
145.692,5681485
145.692,5688534
145.692,5695561
145.692,5702451
145.692,5709121
145.692,5715785
145.692,5722590
145.692,5729268
145.692,5736091
145.692,5742791
145.692,5749491
145.692,5756269
145.692,5762902
145.692,5769718
145.692,5776389
145.692,5783154
145.692,5790134
145.692,5796968
145.692,5803672
145.692,5810335
145.692,5817053
145.692,5823769
145.692,5830427
145.692,5837219
145.692,5844006
145.692,5851773
145.692,5858880
145.692,5866117
145.692,5873258
145.692,5880181
145.692,5886870
145.692,5893655
145.692,5900384
145.692,5907081
145.692,5913848
145.692,5920643
145.692,5927638
145.692,5934700
145.692,5941619
145.692,5948274
145.692,5955014
145.692,5961816
145.692,5968485
145.692,5975262
145.692,5981995
145.692,5988806
145.692,5995563
145.692,6002260
145.692,6008950
145.692,6015639
145.692,6022320
145.692,6029095
145.692,6036676
145.692,6044160
145.692,6051568
145.692,6058945
145.692,6066411
145.692,6074352
145.692,6082932
145.692,6091132
145.692,6099641
145.692,6107356
145.692,6115964
145.692,6123681
145.692,6131715
145.692,6139603
145.692,6148502
145.692,6156272
145.692,6164131
145.692,6171907
145.692,6179943
145.692,6187580
145.692,6196123
145.692,6204228
145.692,6212701
145.692,6220483
145.692,6228517
145.692,6236430
145.692,6245282
145.692,6253036
145.692,6260899
145.692,6268489
145.692,6276152
145.692,6283490
145.692,6290996
145.692,6298253
145.692,6305711
145.692,6313302
145.692,6320648
145.692,6328084
145.692,6335506
145.692,6342825
145.692,6350323
145.692,6359446
145.692,6367819
145.692,6375467
145.692,6382982
145.692,6390339
145.692,6397420
145.692,6404476
145.692,6411484
145.692,6418365
145.692,6425080
145.692,6431907
145.692,6438620
145.692,6445294
145.692,6451993
145.692,6458820
145.692,6466062
145.692,6473275
145.692,6480220
145.692,6486964
145.692,6493768
145.692,6501271
145.692,6508323
145.692,6516290
145.692,6523662
145.692,6530875
145.692,6538099
145.692,6545668
145.692,6554257
145.692,6563533
145.692,6571183
145.692,6579012
145.692,6586717
145.692,6594448
145.692,6602018
145.692,6610251
145.692,6618134
145.692,6626070
145.692,6633931
145.692,6641895
145.692,6650130
145.692,6658328
145.692,6666607
145.692,6675101
145.692,6683121
145.692,6690939
145.692,6699694
145.692,6707453
145.692,6715512
145.692,6723101
145.692,6731089
145.692,6738819
145.692,6747479
145.692,6755050
145.692,6763244
145.692,6770905
145.692,6778786
145.692,6786534
145.692,6794008
145.692,6801563
145.692,6809079
145.692,6816551
145.692,6823995
145.692,6831459
145.692,6839435
145.692,6847614
145.692,6855061
145.692,6862809
145.692,6870648
145.692,6878403
145.692,6885749
145.692,6893160
145.692,6900749
145.692,6908406
145.692,6915625
145.692,6922628
145.692,6929880
145.692,6936600
145.692,6943394
145.692,6950118
145.692,6956944
145.692,6963626
145.692,6970964
145.692,6978152
145.692,6985200
145.692,6992172
145.692,6998903
145.692,7005545
145.692,7012517
145.692,7019188
145.692,7026072
145.692,7032750
145.692,7039455
145.692,7046381
145.692,7053058
145.692,7059834
145.692,7066483
145.692,7073274
145.692,7080068
145.692,7086727
145.692,7093728
145.692,7100535
145.692,7107235
145.692,7113920
145.692,7120599
145.692,7127303
145.692,7134159
145.692,7140901
145.692,7147552
145.692,7154316
145.692,7161007
145.692,7167712
145.692,7174361
145.692,7181096
145.692,7187690
145.692,7194390
145.692,7201037
145.692,7207860
145.692,7214561
145.692,7221283
145.692,7227933
145.692,7234686
145.692,7241264
145.692,7248049
145.692,7254936
145.692,7261629
145.692,7268401
145.692,7275143
145.692,7282030
145.692,7288798
145.692,7295460
145.692,7302265
145.692,7309021
145.692,7315612
145.692,7322266
145.692,7328930
145.692,7335609
145.692,7342299
145.692,7349021
145.692,7355676
145.692,7362372
145.692,7369142
145.692,7375787
145.692,7382461
145.692,7389193
145.692,7395833
145.692,7402496
145.692,7409368
145.692,7416144
145.692,7422900
145.692,7429819
145.692,7436618
145.692,7443456
145.692,7450182
145.692,7456825
145.692,7463474
145.692,7470146
145.692,7476964
145.692,7483646
145.692,7490524
145.692,7497243
145.692,7503914
145.692,7510579
145.692,7517316
145.692,7523962
145.692,7530606
145.692,7537350
145.692,7544573
145.692,7551973
145.692,7559360
145.692,7566459
145.692,7574066
145.692,7581457
145.692,7589179
145.692,7597327
145.692,7605219
145.692,7613357
145.692,7620955
