x,y
10.3478,92.231
26.7484,52.4478
53.2691,41.3524
65.2672,97.8535
44.8648,98.0559
16.9584,45.1141
11.0982,78.8251
83.5946,26.3177
35.1122,78.3819
47.9554,23.2411
45.4891,92.4899
82.6973,28.4495
62.5097,81.2057
23.1973,74.5976
23.3141,41.8323
1.61678,31.8699
20.5228,79.7316
42.2083,99.6986
51.3335,53.2366
87.1519,40.7584
14.7171,90.9857
4.32905,28.3603
82.0585,74.3748
61.7583,96.6717
51.4298,22.2364
55.9788,43.8931
93.7593,87.328
67.7085,74.3707
28.2721,25.8481
74.286,86.8876
16.6825,7.99921
6.48843,20.8281
32.8294,44.7177
98.9298,80.3794
65.6472,95.211
94.2192,79.9456
32.3377,34.2276
24.577,9.8826
16.8711,41.9184
94.9029,81.4456
42.7195,3.86698
9.66741,10.403
21.9772,44.854
41.1082,21.3218
3.20324,42.5898
68.3524,16.1697
51.6693,6.42832
97.2503,76.9436
93.3992,3.67494
17.9324,46.9058
53.3826,23.9611
60.9816,97.4554
85.0107,29.2605
90.228,34.7079
54.7065,35.0262
29.6075,62.9989
59.7697,84.1346
34.03,81.9567
4.33636,81.3253
93.3076,72.3666
79.5952,76.2444
41.7529,94.936
35.5506,75.7207
5.8421,49.7536
27.5641,82.9074
28.5576,81.4637
27.1909,79.4765
62.6098,91.8367
50.4467,87.1274
44.3682,48.3835
32.9968,34.1308
91.7089,11.5577
50.6561,-1.06673
32.3714,44.0209
17.4004,37.744
43.8267,98.7168
66.5283,25.1053
59.55,58.0656
32.5535,30.6453
57.6521,83.4615
40.9172,9.99497
75.2416,40.6622
31.9947,58.4379
65.0723,89.3751
43.2758,4.96005
43.8704,3.58595
66.5706,87.6984
41.1656,40.263
78.6225,56.9847
82.5966,18.2732
13.6095,92.0857
83.4339,9.99815
51.4657,40.073
41.6251,30.2505
21.4635,27.7833
64.4453,20.1517
36.7196,6.60368
55.2868,63.9645
11.9547,23.5106
19.8185,0.794309
40.5367,35.3597
34.3175,21.9335
56.5927,55.3226
89.2073,12.9487
75.0492,68.8151
35.5367,77.0275
71.7188,52.4863
28.9557,87.7475
5.36715,63.9009
98.233,80.888
33.8681,30.6014
87.7703,18.2506
66.0936,89.913
9.3109,50.7816
36.8617,33.407
12.2878,17.6387
73.1379,62.8261
66.4752,17.6515
72.8313,17.3767
69.2064,69.593
46.5518,26.7488
60.7584,98.3844
24.2938,63.6947
28.908,80.726
86.1471,33.0806
63.6895,10.7815
33.5234,24.4385
73.6554,9.9281
33.8301,30.5535
33.8735,25.3871
76.4314,67.4352
29.4771,6.08959
67.7773,88.0024
8.91512,59.0756
58.6389,16.136
42.749,30.0274
83.0115,17.3447
35.7509,35.6441
77.3207,4.17681
73.0574,7.88473
4.33285,37.6104
59.3925,22.9509
18.4185,79.2316
21.4791,33.0322
15.0922,55.2325
25.854,35.0764
7.65491,47.9124
68.9739,97.9139
21.7669,36.9617
29.5579,78.0469
42.3572,12.6473
93.5727,81.0323
63.4745,65.0004
3.78414,76.7214
17.4239,40.9904
59.5168,48.256
92.3161,84.7399
89.1799,44.8789
0.124091,77.6759
12.4577,92.3867
16.0745,12.4095
12.0829,92.8957
55.6024,56.2734
5.47737,39.3361
18.1041,1.50162
53.7548,35.3451
81.2318,33.5929
75.3308,68.0242
92.669,83.0842
65.6406,9.95135
10.6003,54.9471
68.7762,5.90757
68.8316,19.6103
27.4919,44.8548
8.7101,64.8668
60.2012,46.1947
90.6147,8.40816
36.3486,31.6409
57.7108,-0.145155
88.812,30.8359
94.2787,88.9366
91.644,77.5247
