x,y
3.38847,15.9572
5.79335,22.0267
9.64725,14.7059
19.3758,88.732
4.96227,16.4179
96.5254,31.5261
76.9209,81.5674
71.0559,82.4331
22.0884,82.4966
10.6432,8.09259
10.629,10.8086
22.5855,90.8867
96.634,33.0272
1.38277,18.5954
66.6102,79.7721
73.7757,88.5155
8.09536,15.4434
3.92615,16.3556
98.1644,32.9549
95.852,33.4757
16.0072,14.0521
10.8791,8.22291
19.1144,88.12
19.1565,83.1871
9.27167,12.2818
103.361,33.877
10.6109,15.3211
15.0648,82.9153
99.0223,32.5816
93.309,39.9043
4.12457,13.9851
9.21748,12.6086
11.3739,7.4726
17.9404,84.1516
7.65199,21.8161
92.414,36.3549
21.3212,84.8165
17.3001,91.6645
100.703,32.9907
77.9602,83.2835
75.4972,84.6162
65.9197,85.9781
68.614,84.7558
17.4101,95.7584
25.2869,82.9458
72.5816,84.8497
10.6511,10.3652
14.1603,15.1577
98.6065,33.2702
73.5314,82.3436
78.8927,96.4185
67.9614,55.5084
1.35428,97.7787
5.66086,68.7351
45.1959,99.0845
27.6506,97.9536
93.6025,27.7776
60.5845,77.8832
54.2313,76.0158
24.9057,75.3389
57.0881,8.76322
16.2196,35.4924
45.3419,73.1264
14.9127,44.7752
34.6194,54.5869
54.6268,65.479
23.9601,87.9234
91.4638,40.2279
21.696,31.0074
27.6921,12.5021
31.1553,62.8943
8.46879,66.7874
50.1698,15.9121
55.1243,48.0622
78.6276,72.6228
3.53651,82.9191
95.1865,7.69929
76.2915,93.8705
14.0994,8.18535
68.2631,39.4221
13.9606,59.1725
42.6616,35.9633
54.4696,54.9408
49.2274,99.9384
28.5077,4.37368
48.9578,86.7973
49.807,62.4194
67.0939,56.0481
61.4064,25.2122
28.6051,36.7118
97.9827,63.5414
65.6071,53.8932
2.25886,95.7868
25.6209,1.2069
62.0172,78.4155
78.5523,41.0653
76.297,73.5702
48.9516,49.0857
2.19962,60.6419
67.4384,36.6363
