x,y
45.9727,0.666058
33.9638,14.3266
85.2398,41.6661
87.7548,56.6452
57.7232,35.7705
98.5353,94.1068
87.0306,66.8917
1.25766,79.537
20.2303,25.8165
29.7173,49.0819
3.87097,87.7121
8.3139,87.8693
32.188,60.817
38.6185,92.8883
40.8585,18.5311
1.22182,35.3117
39.9289,53.4425
12.8275,5.69396
81.0044,9.94574
45.5885,22.3494
51.7274,24.9075
34.0896,40.8632
6.20721,99.1979
82.9246,62.4861
34.3899,93.1585
68.2508,11.1623
93.9389,64.9976
57.1843,76.4023
70.9306,13.9564
84.8542,73.5172
81.7648,31.1248
25.0077,10.0859
99.6192,41.7513
85.4432,30.1059
17.3365,1.5782
2.14584,52.1679
24.633,64.8884
46.9616,96.9989
74.1894,4.68898
14.9868,36.7105
81.4396,16.0752
31.7446,84.4847
9.29794,93.3562
64.2244,74.8016
60.1883,29.1693
48.5825,95.4492
2.4642,10.7466
82.8868,52.7947
46.0394,54.4725
9.58392,16.3746
26.1659,6.41169
91.9742,31.6038
78.5318,9.25704
21.7566,22.7189
82.3124,23.0583
67.3868,67.38
64.4777,11.6005
57.7889,65.9133
18.2337,91.445
5.75896,83.5671
18.824,0.630564
64.2537,86.3766
24.0033,11.4973
5.98552,78.1689
67.9765,26.0516
73.2088,18.2747
47.6791,15.4237
1.00502,51.6587
68.3617,70.1652
88.9472,65.2678
70.9431,30.9492
55.7968,60.2869
91.8885,26.2186
67.9405,81.4179
23.2039,0.138219
89.4397,83.7072
93.0703,78.5001
86.2187,12.7846
23.5517,44.8406
42.0177,47.2422
80.3918,98.2489
24.3516,34.7749
96.996,28.3723
44.6801,5.8422
80.5226,88.5057
23.3444,71.1328
29.3063,39.727
39.6057,8.84432
32.7185,76.7908
99.5007,96.6201
47.4571,80.0201
0.692647,32.1953
26.3124,96.4312
23.6376,51.4694
81.3645,89.6473
12.378,68.6876
43.8127,8.03279
67.343,26.2474
13.1815,11.99
91.1578,59.5885
29.3385,81.4409
46.9111,33.5825
81.0397,66.8672
6.4211,51.7903
