score,time
13761.6,507
13568.3,1012
13568.3,1517
13568.3,2021
13568.3,2526
13568.3,3030
13568.3,3532
13568.3,4042
13568.3,4547
13568.3,5051
13568.3,5556
13568.3,6061
13568.3,6572
13568.3,7077
13568.3,7594
13568.3,8097
13568.3,8600
13568.3,9105
13568.3,9611
13568.3,10118
13568.3,10624
13568.3,11136
13568.3,11644
13568.3,12154
13568.3,12678
13568.3,13188
13568.3,13692
13568.3,14195
13568.3,14699
13568.3,15202
13568.3,15705
13568.3,16209
13568.3,16713
13568.3,17215
13568.3,17719
13568.3,18222
13568.3,18725
13568.3,19229
13568.3,19733
13568.3,20235
13568.3,20737
13568.3,21240
13568.3,21744
13568.3,22248
13568.3,22751
13568.3,23258
13568.3,23763
13568.3,24277
13568.3,24784
13568.3,25288
13568.3,25792
13568.3,26296
13568.3,26800
13568.3,27302
13568.3,27806
13568.3,28310
13568.3,28813
13568.3,29316
13568.3,29820
13568.3,30325
13568.3,30828
13568.3,31331
13568.3,31833
13568.3,32336
13568.3,32838
13568.3,33341
13568.3,33845
13568.3,34348
13568.3,34851
13568.3,35356
13568.3,35860
13568.3,36361
13568.3,36865
13568.3,37367
13568.3,37869
13568.3,38372
13568.3,38875
13568.3,39378
13568.3,39880
13568.3,40384
13568.3,40886
13568.3,41390
13568.3,41893
13368.8,42397
13368.8,42901
13368.8,43403
13368.8,43907
13368.8,44409
13368.8,44912
13368.8,45416
13368.8,45919
13368.8,46422
13341,46926
13149.3,47429
12634.3,47933
12599.8,48434
12599.8,48936
12599.8,49440
12599.8,49942
12599.8,50445
12599.8,50948
12543.4,51450
12333,51953
12088.3,52456
11999.5,52960
11394.3,53462
11394.3,53966
11394.3,54469
11394.3,54972
11394.3,55475
11394.3,55978
11394.3,56481
11315.9,56984
10931.7,57487
10724.4,57999
10511.4,58502
10199.4,59018
10019,59521
9678.53,60023
9645.32,60525
9607.72,61028
9474.85,61531
9382.7,62034
9382.7,62537
9382.7,63039
9382.7,63542
8900.31,64045
8835.74,64547
8835.74,65050
8835.74,65553
8820.89,66056
8190.5,66559
8190.5,67062
8190.5,67564
8190.5,68068
8034.51,68571
7939.85,69074
7902.18,69577
7902.18,70079
7774.53,70581
7584.09,71084
7543.36,71586
7543.36,72090
7543.36,72593
7543.36,73095
7543.36,73598
7543.36,74101
7486.16,74604
7486.16,75106
7486.16,75613
7486.16,76135
7486.16,76640
7486.16,77144
7353.35,77649
7353.35,78152
7295.5,78655
7057.38,79160
6804.69,79663
6804.69,80167
6804.69,80669
6804.69,81173
6804.69,81677
6804.69,82181
6804.69,82684
6804.69,83187
6804.69,83691
6804.69,84193
6756.07,84696
6756.07,85200
6756.07,85703
6756.07,86207
6756.07,86710
6756.07,87214
6756.07,87718
6756.07,88221
6756.07,88724
6756.07,89228
6756.07,89730
6756.07,90232
6756.07,90735
6756.07,91237
6756.07,91741
6756.07,92243
6756.07,92745
6756.07,93249
6756.07,93751
6756.07,94254
6756.07,94757
6756.07,95260
6756.07,95764
6756.07,96267
6756.07,96769
6756.07,97274
6756.07,97776
