score,time
128.145,503
127.13,1005
124.178,1518
124.178,2023
124.178,2526
124.178,3029
124.178,3544
124.178,4046
124.178,4548
124.178,5049
124.178,5551
124.178,6053
124.178,6555
124.178,7056
124.178,7558
124.178,8060
124.178,8561
124.178,9063
124.178,9565
124.178,10066
124.178,10568
124.178,11074
124.178,11576
124.178,12079
124.178,12580
124.178,13082
124.178,13584
124.178,14085
124.178,14587
124.178,15089
124.178,15590
124.178,16092
124.178,16594
124.178,17097
124.178,17599
124.178,18118
124.178,18621
124.178,19124
124.178,19627
124.178,20129
124.178,20631
124.178,21133
124.178,21635
124.178,22137
124.178,22639
124.178,23140
124.178,23642
124.178,24144
124.178,24646
124.178,25147
124.178,25649
124.178,26151
124.178,26653
124.178,27155
124.178,27656
124.178,28158
124.178,28660
124.178,29161
124.178,29663
124.178,30165
124.178,30666
124.178,31168
124.178,31671
124.178,32174
124.178,32676
124.178,33178
124.178,33695
124.178,34197
124.178,34700
124.178,35204
124.178,35706
124.178,36209
124.178,36720
124.178,37225
124.178,37727
124.178,38229
124.178,38733
124.178,39235
124.178,39737
124.178,40239
124.178,40741
124.178,41242
124.178,41744
124.178,42246
124.178,42747
124.178,43249
124.178,43751
124.178,44252
124.178,44754
124.178,45256
124.178,45757
124.178,46259
124.178,46778
124.178,47281
124.178,47782
124.178,48284
124.178,48786
124.178,49288
124.178,49789
124.178,50291
124.178,50793
124.178,51294
124.178,51800
124.178,52317
124.178,52822
124.178,53325
124.178,53828
124.178,54331
124.178,54833
124.178,55334
124.178,55836
124.178,56338
124.178,56840
124.178,57342
124.178,57844
124.178,58345
124.178,58847
124.178,59349
124.178,59850
124.178,60352
124.178,60854
124.178,61356
124.178,61857
124.178,62359
124.178,62861
124.178,63363
124.178,63864
124.178,64366
124.178,64868
124.178,65370
124.178,65871
124.178,66373
124.178,66875
124.178,67378
124.178,67885
124.178,68388
124.178,68891
124.178,69393
124.178,69894
124.178,70396
124.178,70898
124.178,71400
124.178,71901
124.178,72403
124.178,72905
124.178,73406
124.178,73909
124.178,74411
