score,time
155.005,103
155.005,205
155.005,307
155.005,409
155.005,510
154.865,612
154.865,714
154.865,816
154.865,917
154.865,1019
154.865,1121
154.865,1223
154.865,1324
154.865,1426
154.865,1528
154.865,1630
154.865,1731
154.865,1833
154.865,1935
154.865,2037
154.865,2138
154.865,2240
154.865,2342
154.865,2481
154.865,2583
154.865,2685
154.865,2787
154.865,2889
154.865,2990
154.865,3092
154.865,3194
154.865,3295
154.865,3397
154.865,3499
154.865,3603
154.839,3704
154.839,3806
154.839,3908
154.839,4010
154.839,4111
154.839,4213
154.839,4315
154.839,4416
154.839,4518
154.839,4620
154.839,4722
154.839,4823
154.839,4925
154.839,5027
154.839,5129
154.839,5231
154.839,5332
154.839,5434
154.839,5535
154.839,5637
154.839,5739
154.839,5841
154.839,6024
154.839,6126
154.839,6228
154.839,6330
154.839,6431
154.839,6533
154.839,6635
154.839,6737
154.839,6838
154.839,6940
154.839,7042
154.839,7143
154.839,7245
154.839,7347
154.839,7449
154.839,7551
154.839,7654
154.839,7759
154.839,7863
154.839,7965
154.839,8071
154.839,8190
154.839,8297
154.839,8400
154.839,8502
154.839,8603
154.839,8705
154.839,8807
154.839,8909
154.839,9010
154.839,9112
154.839,9214
154.839,9315
154.839,9417
154.839,9519
154.839,9620
154.839,9722
154.839,9824
154.839,9926
154.839,10027
154.839,10129
154.839,10231
154.839,10333
154.839,10434
154.839,10536
154.839,10661
154.839,10764
154.839,10866
154.839,10967
154.839,11069
154.839,11171
154.839,11273
154.839,11374
154.839,11476
154.839,11578
154.839,11680
154.839,11782
154.839,11883
154.839,11985
154.839,12087
154.839,12189
154.839,12290
154.839,12392
154.839,12494
154.839,12595
154.839,12697
154.839,12799
154.839,12900
154.839,13002
154.839,13104
154.839,13206
154.839,13307
154.839,13409
154.839,13511
154.839,13612
154.839,13714
154.839,13816
154.839,13917
154.839,14019
154.839,14121
154.839,14223
154.839,14324
154.839,14426
154.839,14528
154.839,14629
154.839,14731
154.839,14833
154.839,14934
154.839,15036
154.839,15138
154.839,15240
154.839,15342
154.839,15443
154.839,15545
154.839,15647
154.839,15749
154.839,15850
154.839,15952
154.839,16054
154.839,16156
154.839,16257
154.839,16359
154.839,16461
154.839,16563
154.839,16664
154.839,16766
154.839,16868
154.839,16969
154.839,17071
154.839,17173
154.839,17275
154.839,17505
154.839,17624
154.839,17726
154.839,17872
154.839,17976
154.839,18078
154.839,18180
154.839,18281
154.839,18383
154.839,18485
154.839,18586
154.839,18688
154.839,18830
154.839,18934
154.839,19036
154.839,19138
154.839,19240
154.839,19342
154.839,19444
154.839,19545
154.839,19647
154.839,19749
154.839,19851
154.839,19952
154.839,20054
154.839,20156
154.839,20257
154.839,20359
154.839,20461
154.839,20563
154.839,20664
154.839,20766
154.839,20868
154.839,20969
154.839,21071
154.839,21173
154.839,21274
154.839,21376
154.839,21478
154.839,21580
154.839,21682
154.839,21783
154.839,21885
154.839,21987
154.839,22088
154.839,22190
154.839,22292
154.839,22394
154.839,22496
154.839,22597
154.839,22699
154.839,22801
154.839,22903
154.839,23004
154.839,23106
154.839,23208
154.839,23310
154.839,23411
154.839,23513
154.839,23615
154.839,23718
154.839,23820
154.839,23922
154.839,24024
154.839,24126
154.839,24227
154.839,24329
154.839,24431
154.839,24533
154.839,24635
154.839,24736
154.839,24838
154.839,24943
154.839,25058
154.839,25160
154.839,25262
154.839,25363
154.839,25465
154.839,25567
154.839,25668
154.839,25770
154.839,25872
154.839,25974
154.839,26075
154.839,26177
154.839,26279
154.839,26381
154.839,26482
154.839,26584
154.839,26686
154.839,26788
154.839,26889
154.839,26991
154.839,27093
154.839,27194
154.839,27296
154.839,27398
154.839,27500
154.839,27601
154.839,27703
154.839,27805
154.839,27906
154.839,28008
154.839,28110
154.839,28212
154.839,28313
154.839,28415
154.839,28517
154.839,28618
154.839,28720
154.839,28822
154.839,28924
